town,office,district,party,candidate,votes
Bloomfield,President,,REP,Cruz,95
Bolton,President,,REP,Cruz,71
Bozrah,President,,REP,Cruz,28
Branford,President,,REP,Cruz,230
Bridgeport,President,,REP,Cruz,215
Bridgewater,President,,REP,Cruz,31
Bristol,President,,REP,Cruz,439
Brookfield,President,,REP,Cruz,204
Brooklyn,President,,REP,Cruz,57
Burlington,President,,REP,Cruz,117
Canaan,President,,REP,Cruz,13
Canterbury,President,,REP,Cruz,85
Canton,President,,REP,Cruz,142
Chaplin,President,,REP,Cruz,30
Cheshire,President,,REP,Cruz,312
Chester,President,,REP,Cruz,27
Clinton,President,,REP,Cruz,130
Colchester,President,,REP,Cruz,174
Colebrook,President,,REP,Cruz,22
Columbia,President,,REP,Cruz,58
Cornwall,President,,REP,Cruz,7
Coventry,President,,REP,Cruz,125
Cromwell,President,,REP,Cruz,126
Danbury,President,,REP,Cruz,388
Darien,President,,REP,Cruz,186
Deep River,President,,REP,Cruz,29
Derby,President,,REP,Cruz,55
Durham,President,,REP,Cruz,98
East Granby,President,,REP,Cruz,70
East Haddam,President,,REP,Cruz,114
East Hampton,President,,REP,Cruz,152
East Hartford,President,,REP,Cruz,184
East Haven,President,,REP,Cruz,111
East Lyme,President,,REP,Cruz,173
East Windsor,President,,REP,Cruz,90
Eastford,President,,REP,Cruz,48
Easton,President,,REP,Cruz,70
Ellington,President,,REP,Cruz,181
Enfield,President,,REP,Cruz,308
Essex,President,,REP,Cruz,73
Fairfield,President,,REP,Cruz,472
Farmington,President,,REP,Cruz,260
Franklin,President,,REP,Cruz,30
Glastonbury,President,,REP,Cruz,269
Goshen,President,,REP,Cruz,46
Granby,President,,REP,Cruz,203
Greenwich,President,,REP,Cruz,553
Griswold,President,,REP,Cruz,81
Groton,President,,REP,Cruz,226
Guilford,President,,REP,Cruz,244
Haddam,President,,REP,Cruz,95
Hamden,President,,REP,Cruz,368
Hampton,President,,REP,Cruz,23
Hartford,President,,REP,Cruz,87
Hartland,President,,REP,Cruz,73
Harwinton,President,,REP,Cruz,87
Hebron,President,,REP,Cruz,120
Kent,President,,REP,Cruz,33
Killingly,President,,REP,Cruz,118
Killingworth,President,,REP,Cruz,93
Lebanon,President,,REP,Cruz,98
Ledyard,President,,REP,Cruz,197
Lisbon,President,,REP,Cruz,36
Litchfield,President,,REP,Cruz,127
Lyme,President,,REP,Cruz,36
Madison,President,,REP,Cruz,210
Manchester,President,,REP,Cruz,332
Mansfield,President,,REP,Cruz,96
Marlborough,President,,REP,Cruz,70
Meriden,President,,REP,Cruz,300
Middlebury,President,,REP,Cruz,104
Middlefield,President,,REP,Cruz,49
Middletown,President,,REP,Cruz,266
Milford,President,,REP,Cruz,413
Monroe,President,,REP,Cruz,192
Montville,President,,REP,Cruz,150
Morris,President,,REP,Cruz,35
Naugatuck,President,,REP,Cruz,223
New Britain,President,,REP,Cruz,211
New Canaan,President,,REP,Cruz,262
New Fairfield,President,,REP,Cruz,144
New Hartford,President,,REP,Cruz,120
New Haven,President,,REP,Cruz,163
New London,President,,REP,Cruz,58
New Milford,President,,REP,Cruz,265
Newington,President,,REP,Cruz,172
Newtown,President,,REP,Cruz,372
Norfolk,President,,REP,Cruz,18
North Branford,President,,REP,Cruz,124
North Canaan,President,,REP,Cruz,37
North Haven,President,,REP,Cruz,240
North Stonington,President,,REP,Cruz,63
Norwalk,President,,REP,Cruz,425
Norwich,President,,REP,Cruz,145
Old Lyme,President,,REP,Cruz,89
Old Saybrook,President,,REP,Cruz,98
Orange,President,,REP,Cruz,141
Oxford,President,,REP,Cruz,155
Plainfield,President,,REP,Cruz,107
Plainville,President,,REP,Cruz,105
Plymouth,President,,REP,Cruz,81
Pomfret,President,,REP,Cruz,45
Portland,President,,REP,Cruz,78
Preston,President,,REP,Cruz,46-
Prospect,President,,REP,Cruz,114
Putnam,President,,REP,Cruz,48
Redding,President,,REP,Cruz,120
Ridgefield,President,,REP,Cruz,283
Rocky Hill,President,,REP,Cruz,140
Roxbury,President,,REP,Cruz,35
Salem,President,,REP,Cruz,48
Salisbury,President,,REP,Cruz,40
Scotland,President,,REP,Cruz,14
Seymour,President,,REP,Cruz,113
Sharon,President,,REP,Cruz,21
Shelton,President,,REP,Cruz,385
Sherman,President,,REP,Cruz,39
Simsbury,President,,REP,Cruz,334
Somers,President,,REP,Cruz,115
South Windsor,President,,REP,Cruz,213
Southbury,President,,REP,Cruz,270
Southington,President,,REP,Cruz,429
Sprague,President,,REP,Cruz,40
Stafford,President,,REP,Cruz,114
Stamford,President,,REP,Cruz,619
Sterling,President,,REP,Cruz,20
Stonington,President,,REP,Cruz,144
Stratford,President,,REP,Cruz,297
Suffield,President,,REP,Cruz,148
Thomaston,President,,REP,Cruz,86
Thompson,President,,REP,Cruz,87
Tolland,President,,REP,Cruz,172
Torrington,President,,REP,Cruz,258
Trumbull,President,,REP,Cruz,323
Union,President,,REP,Cruz,16
Vernon,President,,REP,Cruz,206
Voluntown,President,,REP,Cruz,18
Wallingford,President,,REP,Cruz,368
Warren,President,,REP,Cruz,27
Washington,President,,REP,Cruz,40
Waterbury,President,,REP,Cruz,289
Waterford,President,,REP,Cruz,164
Watertown,President,,REP,Cruz,235
West Hartford,President,,REP,Cruz,345
West Haven,President,,REP,Cruz,150
Westbrook,President,,REP,Cruz,57
Weston,President,,REP,Cruz,94
Westport,President,,REP,Cruz,165
Wethersfield,President,,REP,Cruz,220
Willington,President,,REP,Cruz,63
Wilton,President,,REP,Cruz,184
Winchester,President,,REP,Cruz,85
Windham,President,,REP,Cruz,87
Windsor,President,,REP,Cruz,205
Windsor Locks,President,,REP,Cruz,81
Wolcott,President,,REP,Cruz,152
Woodbridge,President,,REP,Cruz,66
Woodbury,President,,REP,Cruz,172
Woodstock,President,,REP,Cruz,130
Andover,President,,REP,Carson,4
Ansonia,President,,REP,Carson,10
Ashford,President,,REP,Carson,12
Avon,President,,REP,Carson,9
Barkhamsted,President,,REP,Carson,9
Beacon Falls,President,,REP,Carson,3
Berlin,President,,REP,Carson,18
Bethany,President,,REP,Carson,5
Bethel,President,,REP,Carson,23
Bethlehem,President,,REP,Carson,4
Bloomfield,President,,REP,Carson,11
Bolton,President,,REP,Carson,8
Bozrah,President,,REP,Carson,2
Branford,President,,REP,Carson,11
Bridgeport,President,,REP,Carson,29
Bridgewater,President,,REP,Carson,2
Bristol,President,,REP,Carson,22
Brookfield,President,,REP,Carson,19
Brooklyn,President,,REP,Carson,6
Burlington,President,,REP,Carson,5
Canaan,President,,REP,Carson,1
Canterbury,President,,REP,Carson,9
Canton,President,,REP,Carson,23
Chaplin,President,,REP,Carson,2
Cheshire,President,,REP,Carson,18
Chester,President,,REP,Carson,2
Clinton,President,,REP,Carson,16
Colchester,President,,REP,Carson,10
Colebrook,President,,REP,Carson,0
Columbia,President,,REP,Carson,1
Cornwall,President,,REP,Carson,0
Coventry,President,,REP,Carson,4
Cromwell,President,,REP,Carson,8
Danbury,President,,REP,Carson,30
Darien,President,,REP,Carson,15
Deep River,President,,REP,Carson,5
Derby,President,,REP,Carson,1
Durham,President,,REP,Carson,8
East Granby,President,,REP,Carson,5
East Haddam,President,,REP,Carson,5
East Hampton,President,,REP,Carson,4
East Hartford,President,,REP,Carson,20
East Haven,President,,REP,Carson,9
East Lyme,President,,REP,Carson,10
East Windsor,President,,REP,Carson,10
Eastford,President,,REP,Carson,3
Easton,President,,REP,Carson,3
Ellington,President,,REP,Carson,13
Enfield,President,,REP,Carson,16
Essex,President,,REP,Carson,6
Fairfield,President,,REP,Carson,27
Farmington,President,,REP,Carson,14
Franklin,President,,REP,Carson,0
Glastonbury,President,,REP,Carson,15
Goshen,President,,REP,Carson,5
Granby,President,,REP,Carson,15
Greenwich,President,,REP,Carson,22
Griswold,President,,REP,Carson,8
Groton,President,,REP,Carson,25
Guilford,President,,REP,Carson,19
Haddam,President,,REP,Carson,4
Hamden,President,,REP,Carson,20
Hampton,President,,REP,Carson,2
Hartford,President,,REP,Carson,7
Hartland,President,,REP,Carson,12
Harwinton,President,,REP,Carson,9
Hebron,President,,REP,Carson,9
Kent,President,,REP,Carson,0
Killingly,President,,REP,Carson,3
Killingworth,President,,REP,Carson,4
Lebanon,President,,REP,Carson,6
Ledyard,President,,REP,Carson,15
Lisbon,President,,REP,Carson,3
Litchfield,President,,REP,Carson,12
Lyme,President,,REP,Carson,4
Madison,President,,REP,Carson,11
Manchester,President,,REP,Carson,24
Mansfield,President,,REP,Carson,11
Marlborough,President,,REP,Carson,3
Meriden,President,,REP,Carson,30
Middlebury,President,,REP,Carson,6
Middlefield,President,,REP,Carson,7
Middletown,President,,REP,Carson,19
Milford,President,,REP,Carson,24
Monroe,President,,REP,Carson,8
Montville,President,,REP,Carson,10
Morris,President,,REP,Carson,2
Naugatuck,President,,REP,Carson,22
New Britain,President,,REP,Carson,12
New Canaan,President,,REP,Carson,8
New Fairfield,President,,REP,Carson,9
New Hartford,President,,REP,Carson,10
New Haven,President,,REP,Carson,10
New London,President,,REP,Carson,8
New Milford,President,,REP,Carson,23
Newington,President,,REP,Carson,6
Newtown,President,,REP,Carson,27
Norfolk,President,,REP,Carson,2
North Branford,President,,REP,Carson,4
North Canaan,President,,REP,Carson,2
North Haven,President,,REP,Carson,15
North Stonington,President,,REP,Carson,3
Norwalk,President,,REP,Carson,26
Norwich,President,,REP,Carson,17
Old Lyme,President,,REP,Carson,5
Old Saybrook,President,,REP,Carson,15
Orange,President,,REP,Carson,12
Oxford,President,,REP,Carson,3
Plainfield,President,,REP,Carson,6
Plainville,President,,REP,Carson,13
Plymouth,President,,REP,Carson,4
Pomfret,President,,REP,Carson,2
Portland,President,,REP,Carson,8
Preston,President,,REP,Carson,7
Prospect,President,,REP,Carson,13
Putnam,President,,REP,Carson,10
Redding,President,,REP,Carson,9
Ridgefield,President,,REP,Carson,16
Rocky Hill,President,,REP,Carson,7
Roxbury,President,,REP,Carson,8
Salem,President,,REP,Carson,1
Salisbury,President,,REP,Carson,3
Scotland,President,,REP,Carson,5
Seymour,President,,REP,Carson,6
Sharon,President,,REP,Carson,1
Shelton,President,,REP,Carson,32
Sherman,President,,REP,Carson,5
Simsbury,President,,REP,Carson,22
Somers,President,,REP,Carson,14
South Windsor,President,,REP,Carson,14
Southbury,President,,REP,Carson,12
Southington,President,,REP,Carson,27
Sprague,President,,REP,Carson,1
Stafford,President,,REP,Carson,6
Stamford,President,,REP,Carson,29
Sterling,President,,REP,Carson,3
Stonington,President,,REP,Carson,14
Stratford,President,,REP,Carson,14
Suffield,President,,REP,Carson,7
Thomaston,President,,REP,Carson,3
Thompson,President,,REP,Carson,8
Tolland,President,,REP,Carson,9
Torrington,President,,REP,Carson,14
Trumbull,President,,REP,Carson,20
Union,President,,REP,Carson,0
Vernon,President,,REP,Carson,16
Voluntown,President,,REP,Carson,0
Wallingford,President,,REP,Carson,21
Warren,President,,REP,Carson,4
Washington,President,,REP,Carson,3
Waterbury,President,,REP,Carson,29
Waterford,President,,REP,Carson,9
Watertown,President,,REP,Carson,12
West Hartford,President,,REP,Carson,14
West Haven,President,,REP,Carson,10
Westbrook,President,,REP,Carson,4
Weston,President,,REP,Carson,5
Westport,President,,REP,Carson,11
Wethersfield,President,,REP,Carson,16
Willington,President,,REP,Carson,5
Wilton,President,,REP,Carson,7
Winchester,President,,REP,Carson,6
Windham,President,,REP,Carson,12
Windsor,President,,REP,Carson,10
Windsor Locks,President,,REP,Carson,10
Wolcott,President,,REP,Carson,13
Woodbridge,President,,REP,Carson,4
Woodbury,President,,REP,Carson,14
Woodstock,President,,REP,Carson,2
Andover,President,,REP,Trump,163
Ansonia,President,,REP,Trump,497
Ashford,President,,REP,Trump,158
Avon,President,,REP,Trump,1027
Barkhamsted,President,,REP,Trump,242
Beacon Falls,President,,REP,Trump,358
Berlin,President,,REP,Trump,1256
Bethany,President,,REP,Trump,379
Bethel,President,,REP,Trump,1025
Bethlehem,President,,REP,Trump,348
Bloomfield,President,,REP,Trump,304
Bolton,President,,REP,Trump,307
Bozrah,President,,REP,Trump,100
Branford,President,,REP,Trump,1010
Bridgeport,President,,REP,Trump,694
Bridgewater,President,,REP,Trump,147
Bristol,President,,REP,Trump,1971
Brookfield,President,,REP,Trump,1090
Brooklyn,President,,REP,Trump,313
Burlington,President,,REP,Trump,544
Canaan,President,,REP,Trump,52
Canterbury,President,,REP,Trump,351
Canton,President,,REP,Trump,595
Chaplin,President,,REP,Trump,129
Cheshire,President,,REP,Trump,1364
Chester,President,,REP,Trump,133
Clinton,President,,REP,Trump,705
Colchester,President,,REP,Trump,698
Colebrook,President,,REP,Trump,97
Columbia,President,,REP,Trump,309
Cornwall,President,,REP,Trump,54
Coventry,President,,REP,Trump,525
Cromwell,President,,REP,Trump,632
Danbury,President,,REP,Trump,2097
Darien,President,,REP,Trump,1070
Deep River,President,,REP,Trump,173
Derby,President,,REP,Trump,357
Durham,President,,REP,Trump,473
East Granby,President,,REP,Trump,302
East Haddam,President,,REP,Trump,496
East Hampton,President,,REP,Trump,574
East Hartford,President,,REP,Trump,688
East Haven,President,,REP,Trump,964
East Lyme,President,,REP,Trump,853
East Windsor,President,,REP,Trump,406
Eastford,President,,REP,Trump,94
Easton,President,,REP,Trump,497
Ellington,President,,REP,Trump,739
Enfield,President,,REP,Trump,1518
Essex,President,,REP,Trump,407
Fairfield,President,,REP,Trump,2597
Farmington,President,,REP,Trump,1227
Franklin,President,,REP,Trump,89
Glastonbury,President,,REP,Trump,1521
Goshen,President,,REP,Trump,261
Granby,President,,REP,Trump,666
Greenwich,President,,REP,Trump,3007
Griswold,President,,REP,Trump,501
Groton,President,,REP,Trump,991
Guilford,President,,REP,Trump,973
Haddam,President,,REP,Trump,495
Hamden,President,,REP,Trump,1189
Hampton,President,,REP,Trump,105
Hartford,President,,REP,Trump,265
Hartland,President,,REP,Trump,193
Harwinton,President,,REP,Trump,427
Hebron,President,,REP,Trump,476
Kent,President,,REP,Trump,126
Killingly,President,,REP,Trump,477
Killingworth,President,,REP,Trump,454
Lebanon,President,,REP,Trump,416
Ledyard,President,,REP,Trump,642
Lisbon,President,,REP,Trump,189
Litchfield,President,,REP,Trump,568
Lyme,President,,REP,Trump,137
Madison,President,,REP,Trump,974
Manchester,President,,REP,Trump,1372
Mansfield,President,,REP,Trump,305
Marlborough,President,,REP,Trump,355
Meriden,President,,REP,Trump,1189
Middlebury,President,,REP,Trump,770
Middlefield,President,,REP,Trump,198
Middletown,President,,REP,Trump,1060
Milford,President,,REP,Trump,2341
Monroe,President,,REP,Trump,1110
Montville,President,,REP,Trump,592
Morris,President,,REP,Trump,191
Naugatuck,President,,REP,Trump,1163
New Britain,President,,REP,Trump,846
New Canaan,President,,REP,Trump,1168
New Fairfield,President,,REP,Trump,865
New Hartford,President,,REP,Trump,483
New Haven,President,,REP,Trump,509
New London,President,,REP,Trump,268
New Milford,President,,REP,Trump,1334
Newington,President,,REP,Trump,1105
Newtown,President,,REP,Trump,1654
Norfolk,President,,REP,Trump,73
North Branford,President,,REP,Trump,729
North Canaan,President,,REP,Trump,147
North Haven,President,,REP,Trump,1323
North Stonington,President,,REP,Trump,351
Norwalk,President,,REP,Trump,2186
Norwich,President,,REP,Trump,775
Old Lyme,President,,REP,Trump,470
Old Saybrook,President,,REP,Trump,693
Orange,President,,REP,Trump,763
Oxford,President,,REP,Trump,1030
Plainfield,President,,REP,Trump,440
Plainville,President,,REP,Trump,784
Plymouth,President,,REP,Trump,663
Pomfret,President,,REP,Trump,186
Portland,President,,REP,Trump,404
Preston,President,,REP,Trump,262
Prospect,President,,REP,Trump,747
Putnam,President,,REP,Trump,224
Redding,President,,REP,Trump,509
Ridgefield,President,,REP,Trump,1360
Rocky Hill,President,,REP,Trump,758
Roxbury,President,,REP,Trump,167
Salem,President,,REP,Trump,216
Salisbury,President,,REP,Trump,104
Scotland,President,,REP,Trump,88
Seymour,President,,REP,Trump,812
Sharon,President,,REP,Trump,118
Shelton,President,,REP,Trump,2344
Sherman,President,,REP,Trump,268
Simsbury,President,,REP,Trump,1193
Somers,President,,REP,Trump,696
South Windsor,President,,REP,Trump,999
Southbury,President,,REP,Trump,1502
Southington,President,,REP,Trump,2241
Sprague,President,,REP,Trump,120
Stafford,President,,REP,Trump,459
Stamford,President,,REP,Trump,3473
Sterling,President,,REP,Trump,175
Stonington,President,,REP,Trump,707
Stratford,President,,REP,Trump,1906
Suffield,President,,REP,Trump,755
Thomaston,President,,REP,Trump,451
Thompson,President,,REP,Trump,339
Tolland,President,,REP,Trump,648
Torrington,President,,REP,Trump,1353
Trumbull,President,,REP,Trump,1946
Union,President,,REP,Trump,73
Vernon,President,,REP,Trump,901
Voluntown,President,,REP,Trump,160
Wallingford,President,,REP,Trump,1590
Warren,President,,REP,Trump,107
Washington,President,,REP,Trump,189
Waterbury,President,,REP,Trump,1782
Waterford,President,,REP,Trump,856
Watertown,President,,REP,Trump,1430
West Hartford,President,,REP,Trump,1440
West Haven,President,,REP,Trump,917
Westbrook,President,,REP,Trump,444
Weston,President,,REP,Trump,454
Westport,President,,REP,Trump,1053
Wethersfield,President,,REP,Trump,1179
Willington,President,,REP,Trump,249
Wilton,President,,REP,Trump,957
Winchester,President,,REP,Trump,424
Windham,President,,REP,Trump,349
Windsor,President,,REP,Trump,742
Windsor Locks,President,,REP,Trump,422
Wolcott,President,,REP,Trump,1021
Woodbridge,President,,REP,Trump,406
Woodbury,President,,REP,Trump,835
Woodstock,President,,REP,Trump,457
Andover,President,,REP,Kasich,80
Ansonia,President,,REP,Kasich,96
Ashford,President,,REP,Kasich,70
Avon,President,,REP,Kasich,811
Barkhamsted,President,,REP,Kasich,127
Beacon Falls,President,,REP,Kasich,89
Berlin,President,,REP,Kasich,437
Bethany,President,,REP,Kasich,138
Bethel,President,,REP,Kasich,372
Bethlehem,President,,REP,Kasich,84
Bloomfield,President,,REP,Kasich,291
Bolton,President,,REP,Kasich,144
Bozrah,President,,REP,Kasich,42
Branford,President,,REP,Kasich,420
Bridgeport,President,,REP,Kasich,251
Bridgewater,President,,REP,Kasich,70
Bristol,President,,REP,Kasich,620
Brookfield,President,,REP,Kasich,497
Brooklyn,President,,REP,Kasich,120
Burlington,President,,REP,Kasich,244
Canaan,President,,REP,Kasich,30
Canterbury,President,,REP,Kasich,84
Canton,President,,REP,Kasich,362
Chaplin,President,,REP,Kasich,38
Cheshire,President,,REP,Kasich,694
Chester,President,,REP,Kasich,103
Clinton,President,,REP,Kasich,295
Colchester,President,,REP,Kasich,322
Colebrook,President,,REP,Kasich,23
Columbia,President,,REP,Kasich,132
Cornwall,President,,REP,Kasich,43
Coventry,President,,REP,Kasich,227
Cromwell,President,,REP,Kasich,329
Danbury,President,,REP,Kasich,651
Darien,President,,REP,Kasich,1284
Deep River,President,,REP,Kasich,94
Derby,President,,REP,Kasich,59
Durham,President,,REP,Kasich,224
East Granby,President,,REP,Kasich,178
East Haddam,President,,REP,Kasich,185
East Hampton,President,,REP,Kasich,267
East Hartford,President,,REP,Kasich,277
East Haven,President,,REP,Kasich,178
East Lyme,President,,REP,Kasich,523
East Windsor,President,,REP,Kasich,127
Eastford,President,,REP,Kasich,60
Easton,President,,REP,Kasich,288
Ellington,President,,REP,Kasich,360
Enfield,President,,REP,Kasich,539
Essex,President,,REP,Kasich,297
Fairfield,President,,REP,Kasich,2183
Farmington,President,,REP,Kasich,703
Franklin,President,,REP,Kasich,54
Glastonbury,President,,REP,Kasich,1366
Goshen,President,,REP,Kasich,101
Granby,President,,REP,Kasich,479
Greenwich,President,,REP,Kasich,2591
Griswold,President,,REP,Kasich,132
Groton,President,,REP,Kasich,561
Guilford,President,,REP,Kasich,589
Haddam,President,,REP,Kasich,206
Hamden,President,,REP,Kasich,558
Hampton,President,,REP,Kasich,45
Hartford,President,,REP,Kasich,158
Hartland,President,,REP,Kasich,60
Harwinton,President,,REP,Kasich,152
Hebron,President,,REP,Kasich,263
Kent,President,,REP,Kasich,93
Killingly,President,,REP,Kasich,115
Killingworth,President,,REP,Kasich,219
Lebanon,President,,REP,Kasich,169
Ledyard,President,,REP,Kasich,361
Lisbon,President,,REP,Kasich,79
Litchfield,President,,REP,Kasich,289
Lyme,President,,REP,Kasich,124
Madison,President,,REP,Kasich,817
Manchester,President,,REP,Kasich,797
Mansfield,President,,REP,Kasich,262
Marlborough,President,,REP,Kasich,186
Meriden,President,,REP,Kasich,368
Middlebury,President,,REP,Kasich,285
Middlefield,President,,REP,Kasich,77
Middletown,President,,REP,Kasich,443
Milford,President,,REP,Kasich,791
Monroe,President,,REP,Kasich,466
Montville,President,,REP,Kasich,210
Morris,President,,REP,Kasich,84
Naugatuck,President,,REP,Kasich,307
New Britain,President,,REP,Kasich,296
New Canaan,President,,REP,Kasich,1362
New Fairfield,President,,REP,Kasich,287
New Hartford,President,,REP,Kasich,211
New Haven,President,,REP,Kasich,336
New London,President,,REP,Kasich,137
New Milford,President,,REP,Kasich,466
Newington,President,,REP,Kasich,421
Newtown,President,,REP,Kasich,828
Norfolk,President,,REP,Kasich,36
North Branford,President,,REP,Kasich,175
North Canaan,President,,REP,Kasich,62
North Haven,President,,REP,Kasich,460
North Stonington,President,,REP,Kasich,127
Norwalk,President,,REP,Kasich,1133
Norwich,President,,REP,Kasich,271
Old Lyme,President,,REP,Kasich,326
Old Saybrook,President,,REP,Kasich,377
Orange,President,,REP,Kasich,340
Oxford,President,,REP,Kasich,260
Plainfield,President,,REP,Kasich,141
Plainville,President,,REP,Kasich,195
Plymouth,President,,REP,Kasich,145
Pomfret,President,,REP,Kasich,103
Portland,President,,REP,Kasich,214
Preston,President,,REP,Kasich,92
Prospect,President,,REP,Kasich,178
Putnam,President,,REP,Kasich,93
Redding,President,,REP,Kasich,344
Ridgefield,President,,REP,Kasich,962
Rocky Hill,President,,REP,Kasich,326
Roxbury,President,,REP,Kasich,74
Salem,President,,REP,Kasich,94
Salisbury,President,,REP,Kasich,119
Scotland,President,,REP,Kasich,29
Seymour,President,,REP,Kasich,181
Sharon,President,,REP,Kasich,87
Shelton,President,,REP,Kasich,778
Sherman,President,,REP,Kasich,96
Simsbury,President,,REP,Kasich,1158
Somers,President,,REP,Kasich,229
South Windsor,President,,REP,Kasich,624
Southbury,President,,REP,Kasich,649
Southington,President,,REP,Kasich,821
Sprague,President,,REP,Kasich,49
Stafford,President,,REP,Kasich,137
Stamford,President,,REP,Kasich,1830
Sterling,President,,REP,Kasich,33
Stonington,President,,REP,Kasich,481
Stratford,President,,REP,Kasich,652
Suffield,President,,REP,Kasich,388
Thomaston,President,,REP,Kasich,119
Thompson,President,,REP,Kasich,114
Tolland,President,,REP,Kasich,404
Torrington,President,,REP,Kasich,420
Trumbull,President,,REP,Kasich,915
Union,President,,REP,Kasich,32
Vernon,President,,REP,Kasich,440
Voluntown,President,,REP,Kasich,42
Wallingford,President,,REP,Kasich,622
Warren,President,,REP,Kasich,56
Washington,President,,REP,Kasich,119
Waterbury,President,,REP,Kasich,333
Waterford,President,,REP,Kasich,329
Watertown,President,,REP,Kasich,367
West Hartford,President,,REP,Kasich,1519
West Haven,President,,REP,Kasich,196
Westbrook,President,,REP,Kasich,165
Weston,President,,REP,Kasich,413
Westport,President,,REP,Kasich,1098
Wethersfield,President,,REP,Kasich,564
Willington,President,,REP,Kasich,109
Wilton,President,,REP,Kasich,930
Winchester,President,,REP,Kasich,132
Windham,President,,REP,Kasich,136
Windsor,President,,REP,Kasich,468
Windsor Locks,President,,REP,Kasich,166
Wolcott,President,,REP,Kasich,190
Woodbridge,President,,REP,Kasich,265
Woodbury,President,,REP,Kasich,397
Woodstock,President,,REP,Kasich,230
Andover,President,,REP,Uncommitted,7
Ansonia,President,,REP,Uncommitted,8
Ashford,President,,REP,Uncommitted,5
Avon,President,,REP,Uncommitted,24
Barkhamsted,President,,REP,Uncommitted,3
Beacon Falls,President,,REP,Uncommitted,4
Berlin,President,,REP,Uncommitted,18
Bethany,President,,REP,Uncommitted,5
Bethel,President,,REP,Uncommitted,20
Bethlehem,President,,REP,Uncommitted,8
Bloomfield,President,,REP,Uncommitted,11
Bolton,President,,REP,Uncommitted,6
Bozrah,President,,REP,Uncommitted,1
Branford,President,,REP,Uncommitted,25
Bridgeport,President,,REP,Uncommitted,32
Bridgewater,President,,REP,Uncommitted,6
Bristol,President,,REP,Uncommitted,35
Brookfield,President,,REP,Uncommitted,16
Brooklyn,President,,REP,Uncommitted,4
Burlington,President,,REP,Uncommitted,15
Canaan,President,,REP,Uncommitted,1
Canterbury,President,,REP,Uncommitted,3
Canton,President,,REP,Uncommitted,8
Chaplin,President,,REP,Uncommitted,5
Cheshire,President,,REP,Uncommitted,24
Chester,President,,REP,Uncommitted,3
Clinton,President,,REP,Uncommitted,12
Colchester,President,,REP,Uncommitted,14
Colebrook,President,,REP,Uncommitted,2
Columbia,President,,REP,Uncommitted,4
Cornwall,President,,REP,Uncommitted,4
Coventry,President,,REP,Uncommitted,8
Cromwell,President,,REP,Uncommitted,13
Danbury,President,,REP,Uncommitted,23
Darien,President,,REP,Uncommitted,21
Deep River,President,,REP,Uncommitted,4
Derby,President,,REP,Uncommitted,2
Durham,President,,REP,Uncommitted,11
East Granby,President,,REP,Uncommitted,8
East Haddam,President,,REP,Uncommitted,10
East Hampton,President,,REP,Uncommitted,11
East Hartford,President,,REP,Uncommitted,17
East Haven,President,,REP,Uncommitted,23
East Lyme,President,,REP,Uncommitted,23
East Windsor,President,,REP,Uncommitted,8
Eastford,President,,REP,Uncommitted,5
Easton,President,,REP,Uncommitted,16
Ellington,President,,REP,Uncommitted,9
Enfield,President,,REP,Uncommitted,22
Essex,President,,REP,Uncommitted,10
Fairfield,President,,REP,Uncommitted,82
Farmington,President,,REP,Uncommitted,31
Franklin,President,,REP,Uncommitted,0
Glastonbury,President,,REP,Uncommitted,15
Goshen,President,,REP,Uncommitted,3
Granby,President,,REP,Uncommitted,19
Greenwich,President,,REP,Uncommitted,80
Griswold,President,,REP,Uncommitted,14
Groton,President,,REP,Uncommitted,28
Guilford,President,,REP,Uncommitted,23
Haddam,President,,REP,Uncommitted,3
Hamden,President,,REP,Uncommitted,32
Hampton,President,,REP,Uncommitted,5
Hartford,President,,REP,Uncommitted,27
Hartland,President,,REP,Uncommitted,2
Harwinton,President,,REP,Uncommitted,3
Hebron,President,,REP,Uncommitted,6
Kent,President,,REP,Uncommitted,9
Killingly,President,,REP,Uncommitted,9
Killingworth,President,,REP,Uncommitted,9
Lebanon,President,,REP,Uncommitted,5
Ledyard,President,,REP,Uncommitted,16
Lisbon,President,,REP,Uncommitted,5
Litchfield,President,,REP,Uncommitted,12
Lyme,President,,REP,Uncommitted,7
Madison,President,,REP,Uncommitted,20
Manchester,President,,REP,Uncommitted,47
Mansfield,President,,REP,Uncommitted,12
Marlborough,President,,REP,Uncommitted,9
Meriden,President,,REP,Uncommitted,22
Middlebury,President,,REP,Uncommitted,15
Middlefield,President,,REP,Uncommitted,6
Middletown,President,,REP,Uncommitted,31
Milford,President,,REP,Uncommitted,46
Monroe,President,,REP,Uncommitted,17
Montville,President,,REP,Uncommitted,9
Morris,President,,REP,Uncommitted,4
Naugatuck,President,,REP,Uncommitted,17
New Britain,President,,REP,Uncommitted,32
New Canaan,President,,REP,Uncommitted,47
New Fairfield,President,,REP,Uncommitted,0
New Hartford,President,,REP,Uncommitted,8
New Haven,President,,REP,Uncommitted,103
New London,President,,REP,Uncommitted,10
New Milford,President,,REP,Uncommitted,39
Newington,President,,REP,Uncommitted,24
Newtown,President,,REP,Uncommitted,37
Norfolk,President,,REP,Uncommitted,2
North Branford,President,,REP,Uncommitted,20
North Canaan,President,,REP,Uncommitted,4
North Haven,President,,REP,Uncommitted,12
North Stonington,President,,REP,Uncommitted,7
