candidate,party,office,district,town,votes,precinct
Ron DeSantis,Republican Party,President,,Cornwall,1,Town Hall
Nikki Haley,Republican Party,President,,Cornwall,4,Town Hall
Donald J. Trump,Republican Party,President,,Cornwall,18,Town Hall
Ryan Binkley,Republican Party,President,,Cornwall,0,Town Hall
Uncommitted,Republican Party,President,,Cornwall,5,Town Hall
Ron DeSantis,Republican Party,President,,Coventry,1,South Coventry Fire Station
Ron DeSantis,Republican Party,President,,Coventry,2,South Coventry Fire Station
Nikki Haley,Republican Party,President,,Coventry,7,South Coventry Fire Station
Nikki Haley,Republican Party,President,,Coventry,13,South Coventry Fire Station
Donald J. Trump,Republican Party,President,,Coventry,82,South Coventry Fire Station
Donald J. Trump,Republican Party,President,,Coventry,135,South Coventry Fire Station
Ryan Binkley,Republican Party,President,,Coventry,0,South Coventry Fire Station
Ryan Binkley,Republican Party,President,,Coventry,1,South Coventry Fire Station
Uncommitted,Republican Party,President,,Coventry,4,South Coventry Fire Station
Uncommitted,Republican Party,President,,Coventry,6,South Coventry Fire Station
Ron DeSantis,Republican Party,President,,Cromwell,6,Cromwell High School
Nikki Haley,Republican Party,President,,Cromwell,42,Cromwell High School
Donald J. Trump,Republican Party,President,,Cromwell,160,Cromwell High School
Ryan Binkley,Republican Party,President,,Cromwell,1,Cromwell High School
Uncommitted,Republican Party,President,,Cromwell,12,Cromwell High School
Ron DeSantis,Republican Party,President,,Danbury,1,Danbury High School Gym
Nikki Haley,Republican Party,President,,Danbury,8,Danbury High School Gym
Donald J. Trump,Republican Party,President,,Danbury,57,Danbury High School Gym
Ryan Binkley,Republican Party,President,,Danbury,0,Danbury High School Gym
Uncommitted,Republican Party,President,,Danbury,7,Danbury High School Gym
Ron DeSantis,Republican Party,President,,Danbury,1,Park Avenue School Gym
Nikki Haley,Republican Party,President,,Danbury,5,Park Avenue School Gym
Donald J. Trump,Republican Party,President,,Danbury,50,Park Avenue School Gym
Ryan Binkley,Republican Party,President,,Danbury,0,Park Avenue School Gym
Uncommitted,Republican Party,President,,Danbury,3,Park Avenue School Gym
Ron DeSantis,Republican Party,President,,Danbury,0,Pembroke School Gym
Nikki Haley,Republican Party,President,,Danbury,10,Pembroke School Gym
Donald J. Trump,Republican Party,President,,Danbury,63,Pembroke School Gym
Ryan Binkley,Republican Party,President,,Danbury,1,Pembroke School Gym
Uncommitted,Republican Party,President,,Danbury,5,Pembroke School Gym
Ron DeSantis,Republican Party,President,,Danbury,2,Shelter Rock School Gym
Nikki Haley,Republican Party,President,,Danbury,6,Shelter Rock School Gym
Donald J. Trump,Republican Party,President,,Danbury,41,Shelter Rock School Gym
Ryan Binkley,Republican Party,President,,Danbury,0,Shelter Rock School Gym
Uncommitted,Republican Party,President,,Danbury,1,Shelter Rock School Gym
Ron DeSantis,Republican Party,President,,Danbury,3,Stadley Rough School
Nikki Haley,Republican Party,President,,Danbury,8,Stadley Rough School
Donald J. Trump,Republican Party,President,,Danbury,101,Stadley Rough School
Ryan Binkley,Republican Party,President,,Danbury,0,Stadley Rough School
Uncommitted,Republican Party,President,,Danbury,4,Stadley Rough School
Ron DeSantis,Republican Party,President,,Danbury,4,War Memorial Gym
Nikki Haley,Republican Party,President,,Danbury,8,War Memorial Gym
Donald J. Trump,Republican Party,President,,Danbury,22,War Memorial Gym
Ryan Binkley,Republican Party,President,,Danbury,0,War Memorial Gym
Uncommitted,Republican Party,President,,Danbury,4,War Memorial Gym
Ron DeSantis,Republican Party,President,,Danbury,4,Westside Middle School Academy
Nikki Haley,Republican Party,President,,Danbury,7,Westside Middle School Academy
Donald J. Trump,Republican Party,President,,Danbury,48,Westside Middle School Academy
Ryan Binkley,Republican Party,President,,Danbury,1,Westside Middle School Academy
Uncommitted,Republican Party,President,,Danbury,1,Westside Middle School Academy
Ron DeSantis,Republican Party,President,,Darien,0,District 1 - 35 Leroy Avenue Municipal Building
Ron DeSantis,Republican Party,President,,Darien,1,District 1 - 35 Leroy Avenue Municipal Building
Nikki Haley,Republican Party,President,,Darien,0,District 1 - 35 Leroy Avenue Municipal Building
Nikki Haley,Republican Party,President,,Darien,16,District 1 - 35 Leroy Avenue Municipal Building
Donald J. Trump,Republican Party,President,,Darien,4,District 1 - 35 Leroy Avenue Municipal Building
Donald J. Trump,Republican Party,President,,Darien,22,District 1 - 35 Leroy Avenue Municipal Building
Ryan Binkley,Republican Party,President,,Darien,0,District 1 - 35 Leroy Avenue Municipal Building
Ryan Binkley,Republican Party,President,,Darien,0,District 1 - 35 Leroy Avenue Municipal Building
Uncommitted,Republican Party,President,,Darien,0,District 1 - 35 Leroy Avenue Municipal Building
Uncommitted,Republican Party,President,,Darien,4,District 1 - 35 Leroy Avenue Municipal Building
Ron DeSantis,Republican Party,President,,Darien,0,District 1-0 35 Leroy Avenue Municipal Building
Nikki Haley,Republican Party,President,,Darien,2,District 1-0 35 Leroy Avenue Municipal Building
Donald J. Trump,Republican Party,President,,Darien,1,District 1-0 35 Leroy Avenue Municipal Building
Ryan Binkley,Republican Party,President,,Darien,0,District 1-0 35 Leroy Avenue Municipal Building
Uncommitted,Republican Party,President,,Darien,0,District 1-0 35 Leroy Avenue Municipal Building
Ron DeSantis,Republican Party,President,,Darien,1,District 2 - Town Hall Gymnasium
Nikki Haley,Republican Party,President,,Darien,13,District 2 - Town Hall Gymnasium
Donald J. Trump,Republican Party,President,,Darien,29,District 2 - Town Hall Gymnasium
Ryan Binkley,Republican Party,President,,Darien,0,District 2 - Town Hall Gymnasium
Uncommitted,Republican Party,President,,Darien,4,District 2 - Town Hall Gymnasium
Ron DeSantis,Republican Party,President,,Darien,1,District 3 - Noroton Heights Fire Department
Nikki Haley,Republican Party,President,,Darien,17,District 3 - Noroton Heights Fire Department
Donald J. Trump,Republican Party,President,,Darien,25,District 3 - Noroton Heights Fire Department
Ryan Binkley,Republican Party,President,,Darien,0,District 3 - Noroton Heights Fire Department
Uncommitted,Republican Party,President,,Darien,3,District 3 - Noroton Heights Fire Department
Ron DeSantis,Republican Party,President,,Darien,3,District 4 - Weed Beach Paddle Hut
Nikki Haley,Republican Party,President,,Darien,31,District 4 - Weed Beach Paddle Hut
Donald J. Trump,Republican Party,President,,Darien,51,District 4 - Weed Beach Paddle Hut
Ryan Binkley,Republican Party,President,,Darien,1,District 4 - Weed Beach Paddle Hut
Uncommitted,Republican Party,President,,Darien,5,District 4 - Weed Beach Paddle Hut
Ron DeSantis,Republican Party,President,,Darien,1,District 5 - Town Hall Gymnasium
Nikki Haley,Republican Party,President,,Darien,18,District 5 - Town Hall Gymnasium
Donald J. Trump,Republican Party,President,,Darien,31,District 5 - Town Hall Gymnasium
Ryan Binkley,Republican Party,President,,Darien,0,District 5 - Town Hall Gymnasium
Uncommitted,Republican Party,President,,Darien,1,District 5 - Town Hall Gymnasium
Ron DeSantis,Republican Party,President,,Darien,2,District 6 - Mather Center
Nikki Haley,Republican Party,President,,Darien,20,District 6 - Mather Center
Donald J. Trump,Republican Party,President,,Darien,32,District 6 - Mather Center
Ryan Binkley,Republican Party,President,,Darien,0,District 6 - Mather Center
Uncommitted,Republican Party,President,,Darien,5,District 6 - Mather Center
Ron DeSantis,Republican Party,President,,Deep River,4,Community Room Deep River Library
Nikki Haley,Republican Party,President,,Deep River,20,Community Room Deep River Library
Donald J. Trump,Republican Party,President,,Deep River,47,Community Room Deep River Library
Ryan Binkley,Republican Party,President,,Deep River,0,Community Room Deep River Library
Uncommitted,Republican Party,President,,Deep River,4,Community Room Deep River Library
Ron DeSantis,Republican Party,President,,Derby,4,Bradley Elementary School - 114
Nikki Haley,Republican Party,President,,Derby,5,Bradley Elementary School - 114
Donald J. Trump,Republican Party,President,,Derby,79,Bradley Elementary School - 114
Ryan Binkley,Republican Party,President,,Derby,0,Bradley Elementary School - 114
Uncommitted,Republican Party,President,,Derby,1,Bradley Elementary School - 114
Ron DeSantis,Republican Party,President,,Derby,1,Irving Elementary School - 104
Nikki Haley,Republican Party,President,,Derby,0,Irving Elementary School - 104
Donald J. Trump,Republican Party,President,,Derby,15,Irving Elementary School - 104
Ryan Binkley,Republican Party,President,,Derby,0,Irving Elementary School - 104
Uncommitted,Republican Party,President,,Derby,3,Irving Elementary School - 104
Ron DeSantis,Republican Party,President,,Derby,0,Irving Elementary School - 105
Nikki Haley,Republican Party,President,,Derby,0,Irving Elementary School - 105
Donald J. Trump,Republican Party,President,,Derby,4,Irving Elementary School - 105
Ryan Binkley,Republican Party,President,,Derby,0,Irving Elementary School - 105
Uncommitted,Republican Party,President,,Derby,2,Irving Elementary School - 105
Ron DeSantis,Republican Party,President,,Derby,0,Irving Elementary School - 114
Nikki Haley,Republican Party,President,,Derby,1,Irving Elementary School - 114
Donald J. Trump,Republican Party,President,,Derby,3,Irving Elementary School - 114
Ryan Binkley,Republican Party,President,,Derby,0,Irving Elementary School - 114
Uncommitted,Republican Party,President,,Derby,0,Irving Elementary School - 114
Ron DeSantis,Republican Party,President,,Durham,0,Durham Community Center
Ron DeSantis,Republican Party,President,,Durham,0,Durham Community Center
Ron DeSantis,Republican Party,President,,Durham,4,Durham Community Center
Nikki Haley,Republican Party,President,,Durham,2,Durham Community Center
Nikki Haley,Republican Party,President,,Durham,5,Durham Community Center
Nikki Haley,Republican Party,President,,Durham,27,Durham Community Center
Donald J. Trump,Republican Party,President,,Durham,12,Durham Community Center
Donald J. Trump,Republican Party,President,,Durham,35,Durham Community Center
Donald J. Trump,Republican Party,President,,Durham,99,Durham Community Center
Ryan Binkley,Republican Party,President,,Durham,0,Durham Community Center
Ryan Binkley,Republican Party,President,,Durham,2,Durham Community Center
Ryan Binkley,Republican Party,President,,Durham,4,Durham Community Center
Uncommitted,Republican Party,President,,Durham,0,Durham Community Center
Uncommitted,Republican Party,President,,Durham,3,Durham Community Center
Uncommitted,Republican Party,President,,Durham,6,Durham Community Center
Ron DeSantis,Republican Party,President,,Eastford,4,Eastford Town Office Building Lower Level
Nikki Haley,Republican Party,President,,Eastford,10,Eastford Town Office Building Lower Level
Donald J. Trump,Republican Party,President,,Eastford,44,Eastford Town Office Building Lower Level
Ryan Binkley,Republican Party,President,,Eastford,0,Eastford Town Office Building Lower Level
Uncommitted,Republican Party,President,,Eastford,2,Eastford Town Office Building Lower Level
Ron DeSantis,Republican Party,President,,East Granby,4,East Granby Community Center-1
Nikki Haley,Republican Party,President,,East Granby,16,East Granby Community Center-1
Donald J. Trump,Republican Party,President,,East Granby,79,East Granby Community Center-1
Ryan Binkley,Republican Party,President,,East Granby,0,East Granby Community Center-1
Uncommitted,Republican Party,President,,East Granby,2,East Granby Community Center-1
Ron DeSantis,Republican Party,President,,East Haddam,8,East Haddam Municipal Office Complex
Nikki Haley,Republican Party,President,,East Haddam,18,East Haddam Municipal Office Complex
Donald J. Trump,Republican Party,President,,East Haddam,179,East Haddam Municipal Office Complex
Ryan Binkley,Republican Party,President,,East Haddam,1,East Haddam Municipal Office Complex
Uncommitted,Republican Party,President,,East Haddam,8,East Haddam Municipal Office Complex
Ron DeSantis,Republican Party,President,,East Hampton,8,East Hampton High School
Nikki Haley,Republican Party,President,,East Hampton,33,East Hampton High School
Donald J. Trump,Republican Party,President,,East Hampton,186,East Hampton High School
Ryan Binkley,Republican Party,President,,East Hampton,0,East Hampton High School
Uncommitted,Republican Party,President,,East Hampton,9,East Hampton High School
Ron DeSantis,Republican Party,President,,East Hartford,0,Anna Norris School
Nikki Haley,Republican Party,President,,East Hartford,5,Anna Norris School
Donald J. Trump,Republican Party,President,,East Hartford,16,Anna Norris School
Ryan Binkley,Republican Party,President,,East Hartford,1,Anna Norris School
Uncommitted,Republican Party,President,,East Hartford,3,Anna Norris School
Ron DeSantis,Republican Party,President,,East Hartford,0,Goodwin School
Nikki Haley,Republican Party,President,,East Hartford,1,Goodwin School
Donald J. Trump,Republican Party,President,,East Hartford,25,Goodwin School
Ryan Binkley,Republican Party,President,,East Hartford,5,Goodwin School
Uncommitted,Republican Party,President,,East Hartford,5,Goodwin School
Ron DeSantis,Republican Party,President,,East Hartford,2,Hockanum School
Nikki Haley,Republican Party,President,,East Hartford,2,Hockanum School
Donald J. Trump,Republican Party,President,,East Hartford,31,Hockanum School
Ryan Binkley,Republican Party,President,,East Hartford,0,Hockanum School
Uncommitted,Republican Party,President,,East Hartford,2,Hockanum School
Ron DeSantis,Republican Party,President,,East Hartford,2,Langford School
Nikki Haley,Republican Party,President,,East Hartford,2,Langford School
Donald J. Trump,Republican Party,President,,East Hartford,21,Langford School
Ryan Binkley,Republican Party,President,,East Hartford,0,Langford School
Uncommitted,Republican Party,President,,East Hartford,0,Langford School
Ron DeSantis,Republican Party,President,,East Hartford,1,Mayberry School
Nikki Haley,Republican Party,President,,East Hartford,4,Mayberry School
Donald J. Trump,Republican Party,President,,East Hartford,12,Mayberry School
Ryan Binkley,Republican Party,President,,East Hartford,1,Mayberry School
Uncommitted,Republican Party,President,,East Hartford,0,Mayberry School
Ron DeSantis,Republican Party,President,,East Hartford,0,Saint Christopher Church Hall
Nikki Haley,Republican Party,President,,East Hartford,10,Saint Christopher Church Hall
Donald J. Trump,Republican Party,President,,East Hartford,33,Saint Christopher Church Hall
Ryan Binkley,Republican Party,President,,East Hartford,0,Saint Christopher Church Hall
Uncommitted,Republican Party,President,,East Hartford,4,Saint Christopher Church Hall
Ron DeSantis,Republican Party,President,,East Hartford,2,Silver Lane School
Nikki Haley,Republican Party,President,,East Hartford,5,Silver Lane School
Donald J. Trump,Republican Party,President,,East Hartford,17,Silver Lane School
Ryan Binkley,Republican Party,President,,East Hartford,1,Silver Lane School
Uncommitted,Republican Party,President,,East Hartford,4,Silver Lane School
Ron DeSantis,Republican Party,President,,East Haven,0,Deer Run School 3
Nikki Haley,Republican Party,President,,East Haven,1,Deer Run School 3
Donald J. Trump,Republican Party,President,,East Haven,58,Deer Run School 3
Ryan Binkley,Republican Party,President,,East Haven,0,Deer Run School 3
Uncommitted,Republican Party,President,,East Haven,2,Deer Run School 3
Ron DeSantis,Republican Party,President,,East Haven,0,East Farm Village 1-S
Nikki Haley,Republican Party,President,,East Haven,1,East Farm Village 1-S
Donald J. Trump,Republican Party,President,,East Haven,10,East Farm Village 1-S
Ryan Binkley,Republican Party,President,,East Haven,0,East Farm Village 1-S
Uncommitted,Republican Party,President,,East Haven,0,East Farm Village 1-S
Ron DeSantis,Republican Party,President,,East Haven,0,Hays School 5
Nikki Haley,Republican Party,President,,East Haven,1,Hays School 5
Donald J. Trump,Republican Party,President,,East Haven,26,Hays School 5
Ryan Binkley,Republican Party,President,,East Haven,1,Hays School 5
Uncommitted,Republican Party,President,,East Haven,1,Hays School 5
Ron DeSantis,Republican Party,President,,East Haven,2,Momauguin School 2
Nikki Haley,Republican Party,President,,East Haven,6,Momauguin School 2
Donald J. Trump,Republican Party,President,,East Haven,47,Momauguin School 2
Ryan Binkley,Republican Party,President,,East Haven,0,Momauguin School 2
Uncommitted,Republican Party,President,,East Haven,2,Momauguin School 2
Ron DeSantis,Republican Party,President,,East Haven,0,Overbrook School 4
Nikki Haley,Republican Party,President,,East Haven,1,Overbrook School 4
Donald J. Trump,Republican Party,President,,East Haven,34,Overbrook School 4
Ryan Binkley,Republican Party,President,,East Haven,1,Overbrook School 4
Uncommitted,Republican Party,President,,East Haven,0,Overbrook School 4
Ron DeSantis,Republican Party,President,,East Haven,0,Tuttle School 1
Nikki Haley,Republican Party,President,,East Haven,3,Tuttle School 1
Donald J. Trump,Republican Party,President,,East Haven,50,Tuttle School 1
Ryan Binkley,Republican Party,President,,East Haven,0,Tuttle School 1
Uncommitted,Republican Party,President,,East Haven,2,Tuttle School 1
Ron DeSantis,Republican Party,President,,East Haven,0,Woodview 5-S
Nikki Haley,Republican Party,President,,East Haven,0,Woodview 5-S
Donald J. Trump,Republican Party,President,,East Haven,6,Woodview 5-S
Ryan Binkley,Republican Party,President,,East Haven,0,Woodview 5-S
Uncommitted,Republican Party,President,,East Haven,0,Woodview 5-S
Ron DeSantis,Republican Party,President,,East Lyme,1,East Lyme Community Center
Nikki Haley,Republican Party,President,,East Lyme,15,East Lyme Community Center
Donald J. Trump,Republican Party,President,,East Lyme,65,East Lyme Community Center
Ryan Binkley,Republican Party,President,,East Lyme,1,East Lyme Community Center
Uncommitted,Republican Party,President,,East Lyme,4,East Lyme Community Center
Ron DeSantis,Republican Party,President,,East Lyme,3,East Lyme High School
Nikki Haley,Republican Party,President,,East Lyme,20,East Lyme High School
Donald J. Trump,Republican Party,President,,East Lyme,72,East Lyme High School
Ryan Binkley,Republican Party,President,,East Lyme,0,East Lyme High School
Uncommitted,Republican Party,President,,East Lyme,7,East Lyme High School
Ron DeSantis,Republican Party,President,,East Lyme,5,Niantic Center School
Nikki Haley,Republican Party,President,,East Lyme,23,Niantic Center School
Donald J. Trump,Republican Party,President,,East Lyme,61,Niantic Center School
Ryan Binkley,Republican Party,President,,East Lyme,0,Niantic Center School
Uncommitted,Republican Party,President,,East Lyme,4,Niantic Center School
Ron DeSantis,Republican Party,President,,Easton,4,Samuel Staples School #1
Nikki Haley,Republican Party,President,,Easton,12,Samuel Staples School #1
Donald J. Trump,Republican Party,President,,Easton,68,Samuel Staples School #1
Ryan Binkley,Republican Party,President,,Easton,0,Samuel Staples School #1
Uncommitted,Republican Party,President,,Easton,5,Samuel Staples School #1
Ron DeSantis,Republican Party,President,,Easton,1,Samuel Staples School #2
Nikki Haley,Republican Party,President,,Easton,22,Samuel Staples School #2
Donald J. Trump,Republican Party,President,,Easton,51,Samuel Staples School #2
Ryan Binkley,Republican Party,President,,Easton,0,Samuel Staples School #2
Uncommitted,Republican Party,President,,Easton,5,Samuel Staples School #2
Ron DeSantis,Republican Party,President,,East Windsor,7,Town Hall
Nikki Haley,Republican Party,President,,East Windsor,15,Town Hall
Donald J. Trump,Republican Party,President,,East Windsor,79,Town Hall
Ryan Binkley,Republican Party,President,,East Windsor,0,Town Hall
Uncommitted,Republican Party,President,,East Windsor,2,Town Hall
Ron DeSantis,Republican Party,President,,East Windsor,1,Town Hall Annex
Nikki Haley,Republican Party,President,,East Windsor,4,Town Hall Annex
Donald J. Trump,Republican Party,President,,East Windsor,60,Town Hall Annex
Ryan Binkley,Republican Party,President,,East Windsor,0,Town Hall Annex
Uncommitted,Republican Party,President,,East Windsor,1,Town Hall Annex
Ron DeSantis,Republican Party,President,,Ellington,2,Ellington Senior Center Back
Nikki Haley,Republican Party,President,,Ellington,9,Ellington Senior Center Back
Donald J. Trump,Republican Party,President,,Ellington,65,Ellington Senior Center Back
Ryan Binkley,Republican Party,President,,Ellington,1,Ellington Senior Center Back
Uncommitted,Republican Party,President,,Ellington,3,Ellington Senior Center Back
Ron DeSantis,Republican Party,President,,Ellington,0,Ellington Senior center Side
Nikki Haley,Republican Party,President,,Ellington,7,Ellington Senior center Side
Donald J. Trump,Republican Party,President,,Ellington,43,Ellington Senior center Side
Ryan Binkley,Republican Party,President,,Ellington,0,Ellington Senior center Side
Uncommitted,Republican Party,President,,Ellington,1,Ellington Senior center Side
Ron DeSantis,Republican Party,President,,Ellington,5,Ellington Senior Center Front
Nikki Haley,Republican Party,President,,Ellington,23,Ellington Senior Center Front
Donald J. Trump,Republican Party,President,,Ellington,159,Ellington Senior Center Front
Ryan Binkley,Republican Party,President,,Ellington,2,Ellington Senior Center Front
Uncommitted,Republican Party,President,,Ellington,10,Ellington Senior Center Front
Ron DeSantis,Republican Party,President,,Enfield,0,Enfield Municipal Annex
Ron DeSantis,Republican Party,President,,Enfield,7,Enfield Municipal Annex
Nikki Haley,Republican Party,President,,Enfield,5,Enfield Municipal Annex
Nikki Haley,Republican Party,President,,Enfield,8,Enfield Municipal Annex
Donald J. Trump,Republican Party,President,,Enfield,31,Enfield Municipal Annex
Donald J. Trump,Republican Party,President,,Enfield,127,Enfield Municipal Annex
Ryan Binkley,Republican Party,President,,Enfield,0,Enfield Municipal Annex
Ryan Binkley,Republican Party,President,,Enfield,0,Enfield Municipal Annex
Uncommitted,Republican Party,President,,Enfield,1,Enfield Municipal Annex
Uncommitted,Republican Party,President,,Enfield,5,Enfield Municipal Annex
Ron DeSantis,Republican Party,President,,Enfield,5,Enfield Street School
Nikki Haley,Republican Party,President,,Enfield,6,Enfield Street School
Donald J. Trump,Republican Party,President,,Enfield,85,Enfield Street School
Ryan Binkley,Republican Party,President,,Enfield,0,Enfield Street School
Uncommitted,Republican Party,President,,Enfield,3,Enfield Street School
Ron DeSantis,Republican Party,President,,Enfield,0,Henry Barnard School
Ron DeSantis,Republican Party,President,,Enfield,2,Henry Barnard School
Nikki Haley,Republican Party,President,,Enfield,1,Henry Barnard School
Nikki Haley,Republican Party,President,,Enfield,19,Henry Barnard School
Donald J. Trump,Republican Party,President,,Enfield,14,Henry Barnard School
Donald J. Trump,Republican Party,President,,Enfield,111,Henry Barnard School
Ryan Binkley,Republican Party,President,,Enfield,0,Henry Barnard School
Ryan Binkley,Republican Party,President,,Enfield,1,Henry Barnard School
Uncommitted,Republican Party,President,,Enfield,2,Henry Barnard School
Uncommitted,Republican Party,President,,Enfield,3,Henry Barnard School
Ron DeSantis,Republican Party,President,,Enfield,1,John F Kennedy Middle School
Ron DeSantis,Republican Party,President,,Enfield,3,John F Kennedy Middle School
Nikki Haley,Republican Party,President,,Enfield,4,John F Kennedy Middle School
Nikki Haley,Republican Party,President,,Enfield,17,John F Kennedy Middle School
Donald J. Trump,Republican Party,President,,Enfield,36,John F Kennedy Middle School
Donald J. Trump,Republican Party,President,,Enfield,161,John F Kennedy Middle School
Ryan Binkley,Republican Party,President,,Enfield,0,John F Kennedy Middle School
Ryan Binkley,Republican Party,President,,Enfield,2,John F Kennedy Middle School
Uncommitted,Republican Party,President,,Enfield,0,John F Kennedy Middle School
Uncommitted,Republican Party,President,,Enfield,6,John F Kennedy Middle School
Ron DeSantis,Republican Party,President,,Essex,4,Essex Town Hall 01
Nikki Haley,Republican Party,President,,Essex,41,Essex Town Hall 01
Donald J. Trump,Republican Party,President,,Essex,103,Essex Town Hall 01
Ryan Binkley,Republican Party,President,,Essex,0,Essex Town Hall 01
Uncommitted,Republican Party,President,,Essex,10,Essex Town Hall 01
Ron DeSantis,Republican Party,President,,Fairfield,2,Burr Elementary
Nikki Haley,Republican Party,President,,Fairfield,13,Burr Elementary
Donald J. Trump,Republican Party,President,,Fairfield,29,Burr Elementary
Ryan Binkley,Republican Party,President,,Fairfield,0,Burr Elementary
Uncommitted,Republican Party,President,,Fairfield,0,Burr Elementary
Ron DeSantis,Republican Party,President,,Fairfield,1,Fairfield Warde HS
Nikki Haley,Republican Party,President,,Fairfield,10,Fairfield Warde HS
Donald J. Trump,Republican Party,President,,Fairfield,40,Fairfield Warde HS
Ryan Binkley,Republican Party,President,,Fairfield,0,Fairfield Warde HS
Uncommitted,Republican Party,President,,Fairfield,6,Fairfield Warde HS
Ron DeSantis,Republican Party,President,,Fairfield,0,Holland Hill Elementary
Nikki Haley,Republican Party,President,,Fairfield,14,Holland Hill Elementary
Donald J. Trump,Republican Party,President,,Fairfield,44,Holland Hill Elementary
Ryan Binkley,Republican Party,President,,Fairfield,0,Holland Hill Elementary
Uncommitted,Republican Party,President,,Fairfield,3,Holland Hill Elementary
Ron DeSantis,Republican Party,President,,Fairfield,0,McKinley Elementary
Nikki Haley,Republican Party,President,,Fairfield,8,McKinley Elementary
Donald J. Trump,Republican Party,President,,Fairfield,37,McKinley Elementary
Ryan Binkley,Republican Party,President,,Fairfield,0,McKinley Elementary
Uncommitted,Republican Party,President,,Fairfield,0,McKinley Elementary
Ron DeSantis,Republican Party,President,,Fairfield,0,Mill Hill Elementary
Nikki Haley,Republican Party,President,,Fairfield,28,Mill Hill Elementary
Donald J. Trump,Republican Party,President,,Fairfield,35,Mill Hill Elementary
Ryan Binkley,Republican Party,President,,Fairfield,3,Mill Hill Elementary
Uncommitted,Republican Party,President,,Fairfield,2,Mill Hill Elementary
Ron DeSantis,Republican Party,President,,Fairfield,3,Osborn Hill Elementary
Nikki Haley,Republican Party,President,,Fairfield,14,Osborn Hill Elementary
Donald J. Trump,Republican Party,President,,Fairfield,48,Osborn Hill Elementary
Ryan Binkley,Republican Party,President,,Fairfield,1,Osborn Hill Elementary
Uncommitted,Republican Party,President,,Fairfield,6,Osborn Hill Elementary
Ron DeSantis,Republican Party,President,,Fairfield,1,Riverfield Elementary
Nikki Haley,Republican Party,President,,Fairfield,10,Riverfield Elementary
Donald J. Trump,Republican Party,President,,Fairfield,43,Riverfield Elementary
Ryan Binkley,Republican Party,President,,Fairfield,1,Riverfield Elementary
Uncommitted,Republican Party,President,,Fairfield,5,Riverfield Elementary
Ron DeSantis,Republican Party,President,,Fairfield,1,Senior Center
Nikki Haley,Republican Party,President,,Fairfield,14,Senior Center
Donald J. Trump,Republican Party,President,,Fairfield,46,Senior Center
Ryan Binkley,Republican Party,President,,Fairfield,0,Senior Center
Uncommitted,Republican Party,President,,Fairfield,6,Senior Center
Ron DeSantis,Republican Party,President,,Fairfield,4,Sherman Elementary
Nikki Haley,Republican Party,President,,Fairfield,9,Sherman Elementary
Donald J. Trump,Republican Party,President,,Fairfield,29,Sherman Elementary
Ryan Binkley,Republican Party,President,,Fairfield,0,Sherman Elementary
Uncommitted,Republican Party,President,,Fairfield,1,Sherman Elementary
Ron DeSantis,Republican Party,President,,Fairfield,3,Stratfield Elementary
Nikki Haley,Republican Party,President,,Fairfield,10,Stratfield Elementary
Donald J. Trump,Republican Party,President,,Fairfield,34,Stratfield Elementary
Ryan Binkley,Republican Party,President,,Fairfield,0,Stratfield Elementary
Uncommitted,Republican Party,President,,Fairfield,2,Stratfield Elementary
Ron DeSantis,Republican Party,President,,Farmington,4,Community Center - District 2 Precinct 6
Nikki Haley,Republican Party,President,,Farmington,17,Community Center - District 2 Precinct 6
Donald J. Trump,Republican Party,President,,Farmington,92,Community Center - District 2 Precinct 6
Ryan Binkley,Republican Party,President,,Farmington,0,Community Center - District 2 Precinct 6
Uncommitted,Republican Party,President,,Farmington,3,Community Center - District 2 Precinct 6
Ron DeSantis,Republican Party,President,,Farmington,2,Farmington Police Station - District 2 Precinct 5
Nikki Haley,Republican Party,President,,Farmington,3,Farmington Police Station - District 2 Precinct 5
Donald J. Trump,Republican Party,President,,Farmington,17,Farmington Police Station - District 2 Precinct 5
Ryan Binkley,Republican Party,President,,Farmington,0,Farmington Police Station - District 2 Precinct 5
Uncommitted,Republican Party,President,,Farmington,1,Farmington Police Station - District 2 Precinct 5
Ron DeSantis,Republican Party,President,,Farmington,1,Irving Robbins School - District 1 Precinct 1
Nikki Haley,Republican Party,President,,Farmington,18,Irving Robbins School - District 1 Precinct 1
Donald J. Trump,Republican Party,President,,Farmington,55,Irving Robbins School - District 1 Precinct 1
Ryan Binkley,Republican Party,President,,Farmington,0,Irving Robbins School - District 1 Precinct 1
Uncommitted,Republican Party,President,,Farmington,3,Irving Robbins School - District 1 Precinct 1
Ron DeSantis,Republican Party,President,,Farmington,0,Irving Robbins School - District 1 Precinct 2
Nikki Haley,Republican Party,President,,Farmington,10,Irving Robbins School - District 1 Precinct 2
Donald J. Trump,Republican Party,President,,Farmington,43,Irving Robbins School - District 1 Precinct 2
Ryan Binkley,Republican Party,President,,Farmington,0,Irving Robbins School - District 1 Precinct 2
Uncommitted,Republican Party,President,,Farmington,2,Irving Robbins School - District 1 Precinct 2
Ron DeSantis,Republican Party,President,,Farmington,2,Municipal Buildings - Fhs - Library - Town Hall
Nikki Haley,Republican Party,President,,Farmington,20,Municipal Buildings - Fhs - Library - Town Hall
Donald J. Trump,Republican Party,President,,Farmington,94,Municipal Buildings - Fhs - Library - Town Hall
Ryan Binkley,Republican Party,President,,Farmington,1,Municipal Buildings - Fhs - Library - Town Hall
