candidate,party,office,district,town,votes,precinct
Jahana Hayes,DEM,U.S. House,5,Cheshire,138,Doolittle School - Dist. 5
Mary Daugherty Abrams,DEM,State Senate,13,Cheshire,146,Doolittle School - Dist. 5
Alex Tiktinsky,DEM,State Senate,13,Cheshire,51,Doolittle School - Dist. 5
Dita Bhargava,DEM,Treasurer,,Cheshire,96,Doolittle School - Dist. 5
Shawn Wooden,DEM,Treasurer,,Cheshire,96,Doolittle School - Dist. 5
Paul R Doyle,DEM,Attorney General,,Cheshire,22,Doolittle School - Dist. 5
Chris Mattei,DEM,Attorney General,,Cheshire,50,Doolittle School - Dist. 5
William Tong,DEM,Attorney General,,Cheshire,121,Doolittle School - Dist. 5
Joe Ganim,DEM,Governor,,Cheshire,30,Highland School - Dist. 6
Ned Lamont,DEM,Governor,,Cheshire,197,Highland School - Dist. 6
Susan Bysiewicz,DEM,Lieutenant Governor,,Cheshire,160,Highland School - Dist. 6
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Cheshire,73,Highland School - Dist. 6
Mary Messina Glassman,DEM,U.S. House,5,Cheshire,87,Highland School - Dist. 6
Jahana Hayes,DEM,U.S. House,5,Cheshire,144,Highland School - Dist. 6
Mary Daugherty Abrams,DEM,State Senate,13,Cheshire,171,Highland School - Dist. 6
Alex Tiktinsky,DEM,State Senate,13,Cheshire,58,Highland School - Dist. 6
Dita Bhargava,DEM,Treasurer,,Cheshire,106,Highland School - Dist. 6
Shawn Wooden,DEM,Treasurer,,Cheshire,118,Highland School - Dist. 6
Paul R Doyle,DEM,Attorney General,,Cheshire,22,Highland School - Dist. 6
Chris Mattei,DEM,Attorney General,,Cheshire,67,Highland School - Dist. 6
William Tong,DEM,Attorney General,,Cheshire,141,Highland School - Dist. 6
Joe Ganim,DEM,Governor,,Cheshire,59,Norton School - Dist. 4
Ned Lamont,DEM,Governor,,Cheshire,372,Norton School - Dist. 4
Susan Bysiewicz,DEM,Lieutenant Governor,,Cheshire,278,Norton School - Dist. 4
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Cheshire,149,Norton School - Dist. 4
Mary Messina Glassman,DEM,U.S. House,5,Cheshire,129,Norton School - Dist. 4
Jahana Hayes,DEM,U.S. House,5,Cheshire,304,Norton School - Dist. 4
Mary Daugherty Abrams,DEM,State Senate,13,Cheshire,332,Norton School - Dist. 4
Alex Tiktinsky,DEM,State Senate,13,Cheshire,96,Norton School - Dist. 4
Dita Bhargava,DEM,Treasurer,,Cheshire,219,Norton School - Dist. 4
Shawn Wooden,DEM,Treasurer,,Cheshire,206,Norton School - Dist. 4
Paul R Doyle,DEM,Attorney General,,Cheshire,35,Norton School - Dist. 4
Chris Mattei,DEM,Attorney General,,Cheshire,127,Norton School - Dist. 4
William Tong,DEM,Attorney General,,Cheshire,266,Norton School - Dist. 4
Joe Ganim,DEM,Governor,,Chester,26,Chester Town Office Building
Ned Lamont,DEM,Governor,,Chester,375,Chester Town Office Building
Susan Bysiewicz,DEM,Lieutenant Governor,,Chester,257,Chester Town Office Building
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Chester,146,Chester Town Office Building
Dita Bhargava,DEM,Treasurer,,Chester,131,Chester Town Office Building
Shawn Wooden,DEM,Treasurer,,Chester,255,Chester Town Office Building
Paul R Doyle,DEM,Attorney General,,Chester,33,Chester Town Office Building
Chris Mattei,DEM,Attorney General,,Chester,90,Chester Town Office Building
William Tong,DEM,Attorney General,,Chester,268,Chester Town Office Building
Joe Ganim,DEM,Governor,,Clinton,128,Andrews Memorial Town Hall
Ned Lamont,DEM,Governor,,Clinton,709,Andrews Memorial Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Clinton,565,Andrews Memorial Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Clinton,268,Andrews Memorial Town Hall
Dita Bhargava,DEM,Treasurer,,Clinton,311,Andrews Memorial Town Hall
Shawn Wooden,DEM,Treasurer,,Clinton,501,Andrews Memorial Town Hall
Paul R Doyle,DEM,Attorney General,,Clinton,80,Andrews Memorial Town Hall
Chris Mattei,DEM,Attorney General,,Clinton,216,Andrews Memorial Town Hall
William Tong,DEM,Attorney General,,Clinton,528,Andrews Memorial Town Hall
Joe Ganim,DEM,Governor,,Colchester,4,Assembly Of God Hall
Joe Ganim,DEM,Governor,,Colchester,26,Assembly Of God Hall
Ned Lamont,DEM,Governor,,Colchester,61,Assembly Of God Hall
Ned Lamont,DEM,Governor,,Colchester,208,Assembly Of God Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Colchester,47,Assembly Of God Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Colchester,143,Assembly Of God Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Colchester,19,Assembly Of God Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Colchester,90,Assembly Of God Hall
Dita Bhargava,DEM,Treasurer,,Colchester,28,Assembly Of God Hall
Dita Bhargava,DEM,Treasurer,,Colchester,97,Assembly Of God Hall
Shawn Wooden,DEM,Treasurer,,Colchester,32,Assembly Of God Hall
Shawn Wooden,DEM,Treasurer,,Colchester,131,Assembly Of God Hall
Paul R Doyle,DEM,Attorney General,,Colchester,7,Assembly Of God Hall
Paul R Doyle,DEM,Attorney General,,Colchester,41,Assembly Of God Hall
Chris Mattei,DEM,Attorney General,,Colchester,12,Assembly Of God Hall
Chris Mattei,DEM,Attorney General,,Colchester,74,Assembly Of God Hall
William Tong,DEM,Attorney General,,Colchester,45,Assembly Of God Hall
William Tong,DEM,Attorney General,,Colchester,118,Assembly Of God Hall
Joe Ganim,DEM,Governor,,Colchester,33,Bacon Academy
Ned Lamont,DEM,Governor,,Colchester,220,Bacon Academy
Susan Bysiewicz,DEM,Lieutenant Governor,,Colchester,170,Bacon Academy
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Colchester,84,Bacon Academy
Dita Bhargava,DEM,Treasurer,,Colchester,104,Bacon Academy
Shawn Wooden,DEM,Treasurer,,Colchester,146,Bacon Academy
Paul R Doyle,DEM,Attorney General,,Colchester,28,Bacon Academy
Chris Mattei,DEM,Attorney General,,Colchester,84,Bacon Academy
William Tong,DEM,Attorney General,,Colchester,141,Bacon Academy
Joe Ganim,DEM,Governor,,Colchester,43,Colchester Town Hall
Ned Lamont,DEM,Governor,,Colchester,351,Colchester Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Colchester,258,Colchester Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Colchester,141,Colchester Town Hall
Dita Bhargava,DEM,Treasurer,,Colchester,173,Colchester Town Hall
Shawn Wooden,DEM,Treasurer,,Colchester,209,Colchester Town Hall
Paul R Doyle,DEM,Attorney General,,Colchester,54,Colchester Town Hall
Chris Mattei,DEM,Attorney General,,Colchester,129,Colchester Town Hall
William Tong,DEM,Attorney General,,Colchester,207,Colchester Town Hall
Joe Ganim,DEM,Governor,,Colebrook,13,Colebrook Town Hall
Ned Lamont,DEM,Governor,,Colebrook,77,Colebrook Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Colebrook,64,Colebrook Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Colebrook,26,Colebrook Town Hall
Dita Bhargava,DEM,Treasurer,,Colebrook,40,Colebrook Town Hall
Shawn Wooden,DEM,Treasurer,,Colebrook,48,Colebrook Town Hall
Paul R Doyle,DEM,Attorney General,,Colebrook,6,Colebrook Town Hall
Chris Mattei,DEM,Attorney General,,Colebrook,17,Colebrook Town Hall
William Tong,DEM,Attorney General,,Colebrook,66,Colebrook Town Hall
Joe Ganim,DEM,Governor,,Columbia,35,Yeomans Hall
Ned Lamont,DEM,Governor,,Columbia,385,Yeomans Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Columbia,237,Yeomans Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Columbia,174,Yeomans Hall
Dita Bhargava,DEM,Treasurer,,Columbia,172,Yeomans Hall
Shawn Wooden,DEM,Treasurer,,Columbia,225,Yeomans Hall
Paul R Doyle,DEM,Attorney General,,Columbia,47,Yeomans Hall
Chris Mattei,DEM,Attorney General,,Columbia,125,Yeomans Hall
William Tong,DEM,Attorney General,,Columbia,232,Yeomans Hall
Joe Ganim,DEM,Governor,,Cornwall,21,Town Hall
Ned Lamont,DEM,Governor,,Cornwall,286,Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Cornwall,165,Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Cornwall,134,Town Hall
Mary Messina Glassman,DEM,U.S. House,5,Cornwall,49,Town Hall
Jahana Hayes,DEM,U.S. House,5,Cornwall,264,Town Hall
Dita Bhargava,DEM,Treasurer,,Cornwall,119,Town Hall
Shawn Wooden,DEM,Treasurer,,Cornwall,171,Town Hall
Paul R Doyle,DEM,Attorney General,,Cornwall,26,Town Hall
Chris Mattei,DEM,Attorney General,,Cornwall,31,Town Hall
William Tong,DEM,Attorney General,,Cornwall,233,Town Hall
Joe Ganim,DEM,Governor,,Coventry,34,Central Fire Station
Ned Lamont,DEM,Governor,,Coventry,369,Central Fire Station
Susan Bysiewicz,DEM,Lieutenant Governor,,Coventry,243,Central Fire Station
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Coventry,160,Central Fire Station
Dita Bhargava,DEM,Treasurer,,Coventry,199,Central Fire Station
Shawn Wooden,DEM,Treasurer,,Coventry,194,Central Fire Station
Paul R Doyle,DEM,Attorney General,,Coventry,47,Central Fire Station
Chris Mattei,DEM,Attorney General,,Coventry,112,Central Fire Station
William Tong,DEM,Attorney General,,Coventry,241,Central Fire Station
Joe Ganim,DEM,Governor,,Coventry,35,North Coventry Fire Station
Ned Lamont,DEM,Governor,,Coventry,338,North Coventry Fire Station
Susan Bysiewicz,DEM,Lieutenant Governor,,Coventry,234,North Coventry Fire Station
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Coventry,140,North Coventry Fire Station
Dita Bhargava,DEM,Treasurer,,Coventry,155,North Coventry Fire Station
Shawn Wooden,DEM,Treasurer,,Coventry,214,North Coventry Fire Station
Paul R Doyle,DEM,Attorney General,,Coventry,30,North Coventry Fire Station
Chris Mattei,DEM,Attorney General,,Coventry,112,North Coventry Fire Station
William Tong,DEM,Attorney General,,Coventry,227,North Coventry Fire Station
Joe Ganim,DEM,Governor,,Cromwell,165,Cromwell High School
Ned Lamont,DEM,Governor,,Cromwell,970,Cromwell High School
Susan Bysiewicz,DEM,Lieutenant Governor,,Cromwell,759,Cromwell High School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Cromwell,379,Cromwell High School
"Antonio ""Tony"" Guerrera",DEM,State Senate,9,Cromwell,394,Cromwell High School
Matt Lesser,DEM,State Senate,9,Cromwell,748,Cromwell High School
Dita Bhargava,DEM,Treasurer,,Cromwell,515,Cromwell High School
Shawn Wooden,DEM,Treasurer,,Cromwell,595,Cromwell High School
Paul R Doyle,DEM,Attorney General,,Cromwell,502,Cromwell High School
Chris Mattei,DEM,Attorney General,,Cromwell,221,Cromwell High School
William Tong,DEM,Attorney General,,Cromwell,428,Cromwell High School
Joe Ganim,DEM,Governor,,Danbury,64,Danbury High School Gym
Ned Lamont,DEM,Governor,,Danbury,380,Danbury High School Gym
Susan Bysiewicz,DEM,Lieutenant Governor,,Danbury,287,Danbury High School Gym
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Danbury,154,Danbury High School Gym
Mary Messina Glassman,DEM,U.S. House,5,Danbury,176,Danbury High School Gym
Jahana Hayes,DEM,U.S. House,5,Danbury,275,Danbury High School Gym
Dita Bhargava,DEM,Treasurer,,Danbury,206,Danbury High School Gym
Shawn Wooden,DEM,Treasurer,,Danbury,229,Danbury High School Gym
Paul R Doyle,DEM,Attorney General,,Danbury,57,Danbury High School Gym
Chris Mattei,DEM,Attorney General,,Danbury,105,Danbury High School Gym
William Tong,DEM,Attorney General,,Danbury,273,Danbury High School Gym
Joe Ganim,DEM,Governor,,Danbury,71,Park Avenue School Gym
Ned Lamont,DEM,Governor,,Danbury,373,Park Avenue School Gym
Susan Bysiewicz,DEM,Lieutenant Governor,,Danbury,268,Park Avenue School Gym
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Danbury,173,Park Avenue School Gym
Mary Messina Glassman,DEM,U.S. House,5,Danbury,179,Park Avenue School Gym
Jahana Hayes,DEM,U.S. House,5,Danbury,269,Park Avenue School Gym
Dita Bhargava,DEM,Treasurer,,Danbury,190,Park Avenue School Gym
Shawn Wooden,DEM,Treasurer,,Danbury,244,Park Avenue School Gym
Paul R Doyle,DEM,Attorney General,,Danbury,72,Park Avenue School Gym
Chris Mattei,DEM,Attorney General,,Danbury,104,Park Avenue School Gym
William Tong,DEM,Attorney General,,Danbury,262,Park Avenue School Gym
Joe Ganim,DEM,Governor,,Danbury,65,Pembroke School Gym
Ned Lamont,DEM,Governor,,Danbury,280,Pembroke School Gym
Susan Bysiewicz,DEM,Lieutenant Governor,,Danbury,213,Pembroke School Gym
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Danbury,134,Pembroke School Gym
Mary Messina Glassman,DEM,U.S. House,5,Danbury,140,Pembroke School Gym
Jahana Hayes,DEM,U.S. House,5,Danbury,210,Pembroke School Gym
Dita Bhargava,DEM,Treasurer,,Danbury,170,Pembroke School Gym
Shawn Wooden,DEM,Treasurer,,Danbury,171,Pembroke School Gym
Paul R Doyle,DEM,Attorney General,,Danbury,61,Pembroke School Gym
Chris Mattei,DEM,Attorney General,,Danbury,83,Pembroke School Gym
William Tong,DEM,Attorney General,,Danbury,202,Pembroke School Gym
Joe Ganim,DEM,Governor,,Danbury,64,Shelter Rock School Gym
Ned Lamont,DEM,Governor,,Danbury,243,Shelter Rock School Gym
Susan Bysiewicz,DEM,Lieutenant Governor,,Danbury,189,Shelter Rock School Gym
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Danbury,116,Shelter Rock School Gym
Mary Messina Glassman,DEM,U.S. House,5,Danbury,109,Shelter Rock School Gym
Jahana Hayes,DEM,U.S. House,5,Danbury,200,Shelter Rock School Gym
Dita Bhargava,DEM,Treasurer,,Danbury,128,Shelter Rock School Gym
Shawn Wooden,DEM,Treasurer,,Danbury,169,Shelter Rock School Gym
Paul R Doyle,DEM,Attorney General,,Danbury,57,Shelter Rock School Gym
Chris Mattei,DEM,Attorney General,,Danbury,70,Shelter Rock School Gym
William Tong,DEM,Attorney General,,Danbury,177,Shelter Rock School Gym
Joe Ganim,DEM,Governor,,Danbury,62,Stadley Rough School
Ned Lamont,DEM,Governor,,Danbury,365,Stadley Rough School
Susan Bysiewicz,DEM,Lieutenant Governor,,Danbury,271,Stadley Rough School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Danbury,159,Stadley Rough School
Mary Messina Glassman,DEM,U.S. House,5,Danbury,124,Stadley Rough School
Jahana Hayes,DEM,U.S. House,5,Danbury,318,Stadley Rough School
Dita Bhargava,DEM,Treasurer,,Danbury,198,Stadley Rough School
Shawn Wooden,DEM,Treasurer,,Danbury,219,Stadley Rough School
Paul R Doyle,DEM,Attorney General,,Danbury,58,Stadley Rough School
Chris Mattei,DEM,Attorney General,,Danbury,110,Stadley Rough School
William Tong,DEM,Attorney General,,Danbury,259,Stadley Rough School
Joe Ganim,DEM,Governor,,Danbury,46,War Memorial Gym
Ned Lamont,DEM,Governor,,Danbury,278,War Memorial Gym
Susan Bysiewicz,DEM,Lieutenant Governor,,Danbury,189,War Memorial Gym
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Danbury,138,War Memorial Gym
Mary Messina Glassman,DEM,U.S. House,5,Danbury,120,War Memorial Gym
Jahana Hayes,DEM,U.S. House,5,Danbury,211,War Memorial Gym
Dita Bhargava,DEM,Treasurer,,Danbury,164,War Memorial Gym
Shawn Wooden,DEM,Treasurer,,Danbury,159,War Memorial Gym
Paul R Doyle,DEM,Attorney General,,Danbury,46,War Memorial Gym
Chris Mattei,DEM,Attorney General,,Danbury,98,War Memorial Gym
William Tong,DEM,Attorney General,,Danbury,184,War Memorial Gym
Joe Ganim,DEM,Governor,,Danbury,52,Westside Middle School Academy
Ned Lamont,DEM,Governor,,Danbury,340,Westside Middle School Academy
Susan Bysiewicz,DEM,Lieutenant Governor,,Danbury,218,Westside Middle School Academy
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Danbury,172,Westside Middle School Academy
Mary Messina Glassman,DEM,U.S. House,5,Danbury,118,Westside Middle School Academy
Jahana Hayes,DEM,U.S. House,5,Danbury,279,Westside Middle School Academy
Dita Bhargava,DEM,Treasurer,,Danbury,182,Westside Middle School Academy
Shawn Wooden,DEM,Treasurer,,Danbury,204,Westside Middle School Academy
Paul R Doyle,DEM,Attorney General,,Danbury,54,Westside Middle School Academy
Chris Mattei,DEM,Attorney General,,Danbury,119,Westside Middle School Academy
William Tong,DEM,Attorney General,,Danbury,219,Westside Middle School Academy
Joe Ganim,DEM,Governor,,Darien,5,District 1 - 35 Leroy Avenue Municipal Building
Ned Lamont,DEM,Governor,,Darien,83,District 1 - 35 Leroy Avenue Municipal Building
Susan Bysiewicz,DEM,Lieutenant Governor,,Darien,63,District 1 - 35 Leroy Avenue Municipal Building
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Darien,19,District 1 - 35 Leroy Avenue Municipal Building
Dita Bhargava,DEM,Treasurer,,Darien,28,District 1 - 35 Leroy Avenue Municipal Building
Shawn Wooden,DEM,Treasurer,,Darien,54,District 1 - 35 Leroy Avenue Municipal Building
Paul R Doyle,DEM,Attorney General,,Darien,5,District 1 - 35 Leroy Avenue Municipal Building
Chris Mattei,DEM,Attorney General,,Darien,8,District 1 - 35 Leroy Avenue Municipal Building
William Tong,DEM,Attorney General,,Darien,72,District 1 - 35 Leroy Avenue Municipal Building
Joe Ganim,DEM,Governor,,Darien,4,District 2 - Darien Town Hall
Ned Lamont,DEM,Governor,,Darien,113,District 2 - Darien Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Darien,92,District 2 - Darien Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Darien,20,District 2 - Darien Town Hall
Dita Bhargava,DEM,Treasurer,,Darien,59,District 2 - Darien Town Hall
Shawn Wooden,DEM,Treasurer,,Darien,51,District 2 - Darien Town Hall
Paul R Doyle,DEM,Attorney General,,Darien,5,District 2 - Darien Town Hall
Chris Mattei,DEM,Attorney General,,Darien,17,District 2 - Darien Town Hall
William Tong,DEM,Attorney General,,Darien,92,District 2 - Darien Town Hall
Joe Ganim,DEM,Governor,,Darien,6,District 3 - Noroton Heights Fire Department
Ned Lamont,DEM,Governor,,Darien,122,District 3 - Noroton Heights Fire Department
Susan Bysiewicz,DEM,Lieutenant Governor,,Darien,102,District 3 - Noroton Heights Fire Department
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Darien,27,District 3 - Noroton Heights Fire Department
Dita Bhargava,DEM,Treasurer,,Darien,53,District 3 - Noroton Heights Fire Department
Shawn Wooden,DEM,Treasurer,,Darien,73,District 3 - Noroton Heights Fire Department
Paul R Doyle,DEM,Attorney General,,Darien,7,District 3 - Noroton Heights Fire Department
Chris Mattei,DEM,Attorney General,,Darien,14,District 3 - Noroton Heights Fire Department
William Tong,DEM,Attorney General,,Darien,108,District 3 - Noroton Heights Fire Department
Joe Ganim,DEM,Governor,,Darien,11,District 4 - Hindley School Gymnasium Entrance
Ned Lamont,DEM,Governor,,Darien,125,District 4 - Hindley School Gymnasium Entrance
Susan Bysiewicz,DEM,Lieutenant Governor,,Darien,98,District 4 - Hindley School Gymnasium Entrance
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Darien,29,District 4 - Hindley School Gymnasium Entrance
Dita Bhargava,DEM,Treasurer,,Darien,64,District 4 - Hindley School Gymnasium Entrance
Shawn Wooden,DEM,Treasurer,,Darien,60,District 4 - Hindley School Gymnasium Entrance
Paul R Doyle,DEM,Attorney General,,Darien,5,District 4 - Hindley School Gymnasium Entrance
Chris Mattei,DEM,Attorney General,,Darien,17,District 4 - Hindley School Gymnasium Entrance
William Tong,DEM,Attorney General,,Darien,110,District 4 - Hindley School Gymnasium Entrance
Joe Ganim,DEM,Governor,,Darien,6,District 5 - Darien Town Hall
Ned Lamont,DEM,Governor,,Darien,112,District 5 - Darien Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Darien,100,District 5 - Darien Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Darien,17,District 5 - Darien Town Hall
Dita Bhargava,DEM,Treasurer,,Darien,56,District 5 - Darien Town Hall
Shawn Wooden,DEM,Treasurer,,Darien,61,District 5 - Darien Town Hall
Paul R Doyle,DEM,Attorney General,,Darien,9,District 5 - Darien Town Hall
Chris Mattei,DEM,Attorney General,,Darien,9,District 5 - Darien Town Hall
William Tong,DEM,Attorney General,,Darien,100,District 5 - Darien Town Hall
Joe Ganim,DEM,Governor,,Darien,9,District 6 - 35 Leroy Avenue Municipal Building
Ned Lamont,DEM,Governor,,Darien,124,District 6 - 35 Leroy Avenue Municipal Building
Susan Bysiewicz,DEM,Lieutenant Governor,,Darien,107,District 6 - 35 Leroy Avenue Municipal Building
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Darien,23,District 6 - 35 Leroy Avenue Municipal Building
Dita Bhargava,DEM,Treasurer,,Darien,60,District 6 - 35 Leroy Avenue Municipal Building
Shawn Wooden,DEM,Treasurer,,Darien,67,District 6 - 35 Leroy Avenue Municipal Building
Paul R Doyle,DEM,Attorney General,,Darien,7,District 6 - 35 Leroy Avenue Municipal Building
Chris Mattei,DEM,Attorney General,,Darien,13,District 6 - 35 Leroy Avenue Municipal Building
William Tong,DEM,Attorney General,,Darien,113,District 6 - 35 Leroy Avenue Municipal Building
Joe Ganim,DEM,Governor,,Deep River,42,Community Room Deep River Library
Ned Lamont,DEM,Governor,,Deep River,338,Community Room Deep River Library
Susan Bysiewicz,DEM,Lieutenant Governor,,Deep River,258,Community Room Deep River Library
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Deep River,120,Community Room Deep River Library
Dita Bhargava,DEM,Treasurer,,Deep River,161,Community Room Deep River Library
Shawn Wooden,DEM,Treasurer,,Deep River,208,Community Room Deep River Library
Paul R Doyle,DEM,Attorney General,,Deep River,38,Community Room Deep River Library
Chris Mattei,DEM,Attorney General,,Deep River,89,Community Room Deep River Library
William Tong,DEM,Attorney General,,Deep River,236,Community Room Deep River Library
Joe Ganim,DEM,Governor,,Derby,159,Bradley Elementary School
Ned Lamont,DEM,Governor,,Derby,263,Bradley Elementary School
Susan Bysiewicz,DEM,Lieutenant Governor,,Derby,300,Bradley Elementary School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Derby,112,Bradley Elementary School
Jorge Cabrera,DEM,State Senate,17,Derby,170,Bradley Elementary School
Sean Grace,DEM,State Senate,17,Derby,138,Bradley Elementary School
Valerie Horsley,DEM,State Senate,17,Derby,107,Bradley Elementary School
Dita Bhargava,DEM,Treasurer,,Derby,167,Bradley Elementary School
Shawn Wooden,DEM,Treasurer,,Derby,227,Bradley Elementary School
Paul R Doyle,DEM,Attorney General,,Derby,65,Bradley Elementary School
Chris Mattei,DEM,Attorney General,,Derby,142,Bradley Elementary School
William Tong,DEM,Attorney General,,Derby,205,Bradley Elementary School
Joe Ganim,DEM,Governor,,Derby,57,Irving Elementary School
Ned Lamont,DEM,Governor,,Derby,122,Irving Elementary School
Susan Bysiewicz,DEM,Lieutenant Governor,,Derby,111,Irving Elementary School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Derby,66,Irving Elementary School
Jorge Cabrera,DEM,State Senate,17,Derby,84,Irving Elementary School
Sean Grace,DEM,State Senate,17,Derby,46,Irving Elementary School
Valerie Horsley,DEM,State Senate,17,Derby,45,Irving Elementary School
Dita Bhargava,DEM,Treasurer,,Derby,67,Irving Elementary School
Shawn Wooden,DEM,Treasurer,,Derby,107,Irving Elementary School
Paul R Doyle,DEM,Attorney General,,Derby,27,Irving Elementary School
Chris Mattei,DEM,Attorney General,,Derby,65,Irving Elementary School
William Tong,DEM,Attorney General,,Derby,81,Irving Elementary School
Joe Ganim,DEM,Governor,,Derby,48,Irving School-105
Ned Lamont,DEM,Governor,,Derby,64,Irving School-105
Susan Bysiewicz,DEM,Lieutenant Governor,,Derby,72,Irving School-105
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Derby,36,Irving School-105
Jorge Cabrera,DEM,State Senate,17,Derby,39,Irving School-105
Sean Grace,DEM,State Senate,17,Derby,36,Irving School-105
Valerie Horsley,DEM,State Senate,17,Derby,38,Irving School-105
Dita Bhargava,DEM,Treasurer,,Derby,41,Irving School-105
Shawn Wooden,DEM,Treasurer,,Derby,64,Irving School-105
Paul R Doyle,DEM,Attorney General,,Derby,12,Irving School-105
Chris Mattei,DEM,Attorney General,,Derby,57,Irving School-105
William Tong,DEM,Attorney General,,Derby,42,Irving School-105
Joe Ganim,DEM,Governor,,Durham,42,Korn School 1
Ned Lamont,DEM,Governor,,Durham,308,Korn School 1
Susan Bysiewicz,DEM,Lieutenant Governor,,Durham,223,Korn School 1
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Durham,132,Korn School 1
Dita Bhargava,DEM,Treasurer,,Durham,149,Korn School 1
Shawn Wooden,DEM,Treasurer,,Durham,189,Korn School 1
Paul R Doyle,DEM,Attorney General,,Durham,52,Korn School 1
Chris Mattei,DEM,Attorney General,,Durham,119,Korn School 1
William Tong,DEM,Attorney General,,Durham,176,Korn School 1
Joe Ganim,DEM,Governor,,Durham,5,Korn School 2
Ned Lamont,DEM,Governor,,Durham,16,Korn School 2
Susan Bysiewicz,DEM,Lieutenant Governor,,Durham,15,Korn School 2
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Durham,6,Korn School 2
Dita Bhargava,DEM,Treasurer,,Durham,9,Korn School 2
Shawn Wooden,DEM,Treasurer,,Durham,12,Korn School 2
Paul R Doyle,DEM,Attorney General,,Durham,2,Korn School 2
Chris Mattei,DEM,Attorney General,,Durham,10,Korn School 2
William Tong,DEM,Attorney General,,Durham,9,Korn School 2
Joe Ganim,DEM,Governor,,Durham,17,Korn School 3
Ned Lamont,DEM,Governor,,Durham,112,Korn School 3
Susan Bysiewicz,DEM,Lieutenant Governor,,Durham,86,Korn School 3
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Durham,43,Korn School 3
Josh Balter,DEM,State Senate,34,Durham,42,Korn School 3
Aili McKeen,DEM,State Senate,34,Durham,85,Korn School 3
Dita Bhargava,DEM,Treasurer,,Durham,48,Korn School 3
Shawn Wooden,DEM,Treasurer,,Durham,73,Korn School 3
Paul R Doyle,DEM,Attorney General,,Durham,18,Korn School 3
Chris Mattei,DEM,Attorney General,,Durham,31,Korn School 3
William Tong,DEM,Attorney General,,Durham,76,Korn School 3
Joe Ganim,DEM,Governor,,Eastford,12,Eastford Town Hall-Lower Level
Ned Lamont,DEM,Governor,,Eastford,98,Eastford Town Hall-Lower Level
Susan Bysiewicz,DEM,Lieutenant Governor,,Eastford,54,Eastford Town Hall-Lower Level
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Eastford,58,Eastford Town Hall-Lower Level
Dita Bhargava,DEM,Treasurer,,Eastford,33,Eastford Town Hall-Lower Level
Shawn Wooden,DEM,Treasurer,,Eastford,78,Eastford Town Hall-Lower Level
Paul R Doyle,DEM,Attorney General,,Eastford,18,Eastford Town Hall-Lower Level
Chris Mattei,DEM,Attorney General,,Eastford,21,Eastford Town Hall-Lower Level
William Tong,DEM,Attorney General,,Eastford,73,Eastford Town Hall-Lower Level
