County,Precinct,Office,District,Party,,Poll,Abs,EDR
Fairfield,Bridgeport 128-1 Johnson,Governor,,WF,Dannel P. Malloy,24,0,0
Fairfield,Bridgeport 128-1 Johnson,Governor,,UNK,Dannel P. Malloy,64,0,3
Fairfield,Bridgeport 128-1 Johnson,Governor,,PC,Joe Visconti,4,0,1
Fairfield,Bridgeport 128-1 Johnson,U.S. House,4,REP,Dan Debicella,105,3,0
Fairfield,Bridgeport 128-1 Johnson,U.S. House,4,IND,Dan Debicella,9,0,0
Fairfield,Bridgeport 128-1 Johnson,U.S. House,4,UNK,Dan Debicella,3,0,0
Fairfield,Bridgeport 128-1 Johnson,U.S. House,4,DEM,Jim Himes,706,44,15
Fairfield,Bridgeport 128-1 Johnson,U.S. House,4,WF,Jim Himes,28,0,0
Fairfield,Bridgeport 128-1 Johnson,U.S. House,4,UNK,Jim Himes,48,2,2
Fairfield,Bridgeport 128-1 Johnson,State Senate,23,DEM,Andres Ayala,712,44,13
Fairfield,Bridgeport 128-1 Johnson,State Senate,23,WF,Andres Ayala,43,1,0
Fairfield,Bridgeport 128-1 Johnson,State Senate,23,UNK,Andres Ayala,36,2,3
Fairfield,Bridgeport 128-1 Johnson,State Assembly,128,REP,Ethan Book,141,2,1
Fairfield,Bridgeport 128-1 Johnson,State Assembly,128,DEM,Christopher Rosario,715,43,15
Fairfield,Bridgeport 128-1 Johnson,State Assembly,128,P&P,Angel Reyes,31,2,1
Fairfield,Bridgeport 128-1 Johnson,Secretary of State,,REP,Peter Lumaj,109,4,1
Fairfield,Bridgeport 128-1 Johnson,Secretary of State,,IND,Peter Lumaj,9,0,0
Fairfield,Bridgeport 128-1 Johnson,Secretary of State,,UNK,Peter Lumaj,2,0,0
Fairfield,Bridgeport 128-1 Johnson,Secretary of State,,DEM,Denise Merrill,679,40,13
Fairfield,Bridgeport 128-1 Johnson,Secretary of State,,WF,Denise Merrill,27,1,0
Fairfield,Bridgeport 128-1 Johnson,Secretary of State,,UNK,Denise Merrill,26,1,2
Fairfield,Bridgeport 128-1 Johnson,Secretary of State,,Green,Michael DeRosa,14,0,1
Fairfield,Bridgeport 128-1 Johnson,State Treasurer,,REP,Tim Herbst,309,2,0
Fairfield,Bridgeport 128-1 Johnson,State Treasurer,,IND,Tim Herbst,11,0,1
Fairfield,Bridgeport 128-1 Johnson,State Treasurer,,UNK,Tim Herbst,3,0,0
Fairfield,Bridgeport 128-1 Johnson,State Treasurer,,DEM,Denise Nappier,689,40,13
Fairfield,Bridgeport 128-1 Johnson,State Treasurer,,WF,Denise Nappier,33,1,0
Fairfield,Bridgeport 128-1 Johnson,State Treasurer,,UNK,Denise Nappier,27,1,4
Fairfield,Bridgeport 128-1 Johnson,Comptroller,,REP,Sharon McLaughlin,107,3,0
Fairfield,Bridgeport 128-1 Johnson,Comptroller,,IND,Sharon McLaughlin,12,1,0
Fairfield,Bridgeport 128-1 Johnson,Comptroller,,UNK,Sharon McLaughlin,2,0,0
Fairfield,Bridgeport 128-1 Johnson,Comptroller,,DEM,Kevin Lembo,675,39,13
Fairfield,Bridgeport 128-1 Johnson,Comptroller,,WF,Kevin Lembo,28,0,1
Fairfield,Bridgeport 128-1 Johnson,Comptroller,,IND,Kevin Lembo,28,1,2
Fairfield,Bridgeport 128-1 Johnson,Comptroller,,Green,Rolf Maurer,8,0,0
Fairfield,Bridgeport 128-1 Johnson,Attorney General,,REP,Kie Westby,106,0,0
Fairfield,Bridgeport 128-1 Johnson,Attorney General,,IND,Kie Westby,5,0,0
Fairfield,Bridgeport 128-1 Johnson,Attorney General,,UNK,Kie Westby,2,0,0
Fairfield,Bridgeport 128-1 Johnson,Attorney General,,DEM,George Jepsen,679,42,14
Fairfield,Bridgeport 128-1 Johnson,Attorney General,,WF,George Jepsen,32,1,0
Fairfield,Bridgeport 128-1 Johnson,Attorney General,,UNK,George Jepsen,28,1,2
Fairfield,Bridgeport 128-1 Johnson,Attorney General,,Green,Stephen Fournier,11,0,0
Fairfield,Bridgeport 128-2 Marin,Governor,,REP,Thomas C. Foley,135,13,3
Fairfield,Bridgeport 128-2 Marin,Governor,,IND,Thomas C. Foley,8,1,0
Fairfield,Bridgeport 128-2 Marin,Governor,,UNK,Thomas C. Foley,3,0,0
Fairfield,Bridgeport 128-2 Marin,Governor,,DEM,Dannel P. Malloy,655,91,8
Fairfield,Bridgeport 128-2 Marin,Governor,,WF,Dannel P. Malloy,35,1,2
Fairfield,Bridgeport 128-2 Marin,Governor,,UNK,Dannel P. Malloy,45,1,0
Fairfield,Bridgeport 128-2 Marin,Governor,,PC,Joe Visconti,4,0,0
Fairfield,Bridgeport 128-2 Marin,U.S. House,4,REP,Dan Debicella,93,1,2
Fairfield,Bridgeport 128-2 Marin,U.S. House,4,IND,Dan Debicella,9,1,0
Fairfield,Bridgeport 128-2 Marin,U.S. House,4,UNK,Dan Debicella,2,0,0
Fairfield,Bridgeport 128-2 Marin,U.S. House,4,DEM,Jim Himes,666,97,7
Fairfield,Bridgeport 128-2 Marin,U.S. House,4,WF,Jim Himes,39,1,3
Fairfield,Bridgeport 128-2 Marin,U.S. House,4,UNK,Jim Himes,32,1,0
Fairfield,Bridgeport 128-2 Marin,State Senate,23,DEM,Andres Ayala,663,91,5
Fairfield,Bridgeport 128-2 Marin,State Senate,23,WF,Andres Ayala,53,2,2
Fairfield,Bridgeport 128-2 Marin,State Senate,23,IND,Andres Ayala,35,0,0
Fairfield,Bridgeport 128-2 Marin,State Assembly,128,REP,Ethan Book,89,8,1
Fairfield,Bridgeport 128-2 Marin,State Assembly,128,DEM,Christopher Rosario,634,93,4
Fairfield,Bridgeport 128-2 Marin,State Assembly,128,P&P,Angel Reyes,135,2,3
Fairfield,Bridgeport 128-2 Marin,Secretary of State,,REP,Peter Lumaj,87,2,2
Fairfield,Bridgeport 128-2 Marin,Secretary of State,,IND,Peter Lumaj,9,0,0
Fairfield,Bridgeport 128-2 Marin,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 128-2 Marin,Secretary of State,,DEM,Denise Merrill,631,89,5
Fairfield,Bridgeport 128-2 Marin,Secretary of State,,WF,Denise Merrill,31,1,2
Fairfield,Bridgeport 128-2 Marin,Secretary of State,,UNK,Denise Merrill,17,0,0
Fairfield,Bridgeport 128-2 Marin,Secretary of State,,Green,Michael DeRosa,12,0,1
Fairfield,Bridgeport 128-2 Marin,State Treasurer,,REP,Tim Herbst,91,2,1
Fairfield,Bridgeport 128-2 Marin,State Treasurer,,IND,Tim Herbst,15,0,0
Fairfield,Bridgeport 128-2 Marin,State Treasurer,,UNK,Tim Herbst,1,0,0
Fairfield,Bridgeport 128-2 Marin,State Treasurer,,DEM,Denise Nappier,637,90,5
Fairfield,Bridgeport 128-2 Marin,State Treasurer,,WF,Denise Nappier,26,1,3
Fairfield,Bridgeport 128-2 Marin,State Treasurer,,UNK,Denise Nappier,17,0,0
Fairfield,Bridgeport 128-2 Marin,Comptroller,,REP,Sharon McLaughlin,90,2,2
Fairfield,Bridgeport 128-2 Marin,Comptroller,,IND,Sharon McLaughlin,14,0,0
Fairfield,Bridgeport 128-2 Marin,Comptroller,,UNK,Sharon McLaughlin,1,0,0
Fairfield,Bridgeport 128-2 Marin,Comptroller,,DEM,Kevin Lembo,624,92,5
Fairfield,Bridgeport 128-2 Marin,Comptroller,,WF,Kevin Lembo,27,2,2
Fairfield,Bridgeport 128-2 Marin,Comptroller,,IND,Kevin Lembo,15,0,0
Fairfield,Bridgeport 128-2 Marin,Comptroller,,Green,Rolf Maurer,10,0,0
Fairfield,Bridgeport 128-2 Marin,Attorney General,,REP,Kie Westby,87,1,2
Fairfield,Bridgeport 128-2 Marin,Attorney General,,IND,Kie Westby,10,1,0
Fairfield,Bridgeport 128-2 Marin,Attorney General,,UNK,Kie Westby,1,0,0
Fairfield,Bridgeport 128-2 Marin,Attorney General,,DEM,George Jepsen,634,88,5
Fairfield,Bridgeport 128-2 Marin,Attorney General,,WF,George Jepsen,24,1,2
Fairfield,Bridgeport 128-2 Marin,Attorney General,,UNK,George Jepsen,15,0,0
Fairfield,Bridgeport 128-2 Marin,Attorney General,,Green,Stephen Fournier,14,0,0
Fairfield,Bridgeport 129-1 St Ann,Governor,,REP,Thomas C. Foley,518,15,3
Fairfield,Bridgeport 129-1 St Ann,Governor,,IND,Thomas C. Foley,28,1,0
Fairfield,Bridgeport 129-1 St Ann,Governor,,UNK,Thomas C. Foley,3,0,0
Fairfield,Bridgeport 129-1 St Ann,Governor,,DEM,Dannel P. Malloy,833,30,7
Fairfield,Bridgeport 129-1 St Ann,Governor,,WF,Dannel P. Malloy,75,2,1
Fairfield,Bridgeport 129-1 St Ann,Governor,,UNK,Dannel P. Malloy,20,0,0
Fairfield,Bridgeport 129-1 St Ann,Governor,,PC,Joe Visconti,14,0,0
Fairfield,Bridgeport 129-1 St Ann,U.S. House,4,REP,Dan Debicella,466,15,2
Fairfield,Bridgeport 129-1 St Ann,U.S. House,4,IND,Dan Debicella,29,1,0
Fairfield,Bridgeport 129-1 St Ann,U.S. House,4,UNK,Dan Debicella,18,0,0
Fairfield,Bridgeport 129-1 St Ann,U.S. House,4,DEM,Jim Himes,864,28,7
Fairfield,Bridgeport 129-1 St Ann,U.S. House,4,WF,Jim Himes,92,2,1
Fairfield,Bridgeport 129-1 St Ann,U.S. House,4,UNK,Jim Himes,18,2,0
Fairfield,Bridgeport 129-1 St Ann,State Senate,22,REP,Enrico Costatini,516,20,2
Fairfield,Bridgeport 129-1 St Ann,State Senate,22,DEM,Marilyn Moore,813,26,5
Fairfield,Bridgeport 129-1 St Ann,State Senate,22,WF,Marilyn Moore,96,2,2
Fairfield,Bridgeport 129-1 St Ann,State Senate,22,UNK,Marilyn Moore,14,0,0
Fairfield,Bridgeport 129-1 St Ann,State Assembly,129,DEM,Auden Grogins,1125,28,7
Fairfield,Bridgeport 129-1 St Ann,Secretary of State,,REP,Peter Lumaj,481,14,2
Fairfield,Bridgeport 129-1 St Ann,Secretary of State,,IND,Peter Lumaj,29,2,1
Fairfield,Bridgeport 129-1 St Ann,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 129-1 St Ann,Secretary of State,,DEM,Denise Merrill,774,24,6
Fairfield,Bridgeport 129-1 St Ann,Secretary of State,,WF,Denise Merrill,80,1,1
Fairfield,Bridgeport 129-1 St Ann,Secretary of State,,UNK,Denise Merrill,12,0,0
Fairfield,Bridgeport 129-1 St Ann,Secretary of State,,Green,Michael DeRosa,45,2,0
Fairfield,Bridgeport 129-1 St Ann,State Treasurer,,REP,Tim Herbst,522,14,3
Fairfield,Bridgeport 129-1 St Ann,State Treasurer,,IND,Tim Herbst,48,2,1
Fairfield,Bridgeport 129-1 St Ann,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 129-1 St Ann,State Treasurer,,DEM,Denise Nappier,756,24,5
Fairfield,Bridgeport 129-1 St Ann,State Treasurer,,WF,Denise Nappier,77,1,1
Fairfield,Bridgeport 129-1 St Ann,State Treasurer,,UNK,Denise Nappier,12,0,0
Fairfield,Bridgeport 129-1 St Ann,Comptroller,,REP,Sharon McLaughlin,488,14,2
Fairfield,Bridgeport 129-1 St Ann,Comptroller,,IND,Sharon McLaughlin,31,1,1
Fairfield,Bridgeport 129-1 St Ann,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 129-1 St Ann,Comptroller,,DEM,Kevin Lembo,753,23,5
Fairfield,Bridgeport 129-1 St Ann,Comptroller,,WF,Kevin Lembo,79,2,1
Fairfield,Bridgeport 129-1 St Ann,Comptroller,,IND,Kevin Lembo,11,0,0
Fairfield,Bridgeport 129-1 St Ann,Comptroller,,Green,Rolf Maurer,43,3,0
Fairfield,Bridgeport 129-1 St Ann,Attorney General,,REP,Kie Westby,449,13,2
Fairfield,Bridgeport 129-1 St Ann,Attorney General,,IND,Kie Westby,23,0,1
Fairfield,Bridgeport 129-1 St Ann,Attorney General,,UNK,Kie Westby,11,0,0
Fairfield,Bridgeport 129-1 St Ann,Attorney General,,DEM,George Jepsen,809,25,6
Fairfield,Bridgeport 129-1 St Ann,Attorney General,,WF,George Jepsen,79,1,1
Fairfield,Bridgeport 129-1 St Ann,Attorney General,,UNK,George Jepsen,11,0,0
Fairfield,Bridgeport 129-1 St Ann,Attorney General,,Green,Stephen Fournier,41,3,0
Fairfield,Bridgeport 129-2 Central,Governor,,REP,Thomas C. Foley,402,18,0
Fairfield,Bridgeport 129-2 Central,Governor,,IND,Thomas C. Foley,18,0,1
Fairfield,Bridgeport 129-2 Central,Governor,,UNK,Thomas C. Foley,6,1,0
Fairfield,Bridgeport 129-2 Central,Governor,,DEM,Dannel P. Malloy,790,44,12
Fairfield,Bridgeport 129-2 Central,Governor,,WF,Dannel P. Malloy,60,2,2
Fairfield,Bridgeport 129-2 Central,Governor,,UNK,Dannel P. Malloy,79,1,1
Fairfield,Bridgeport 129-2 Central,Governor,,PC,Joe Visconti,5,1,0
Fairfield,Bridgeport 129-2 Central,Governor,,write-in,Donald Gaita,2,0,0
Fairfield,Bridgeport 129-2 Central,Governor,,write-in,John Renjilian,1,0,0
Fairfield,Bridgeport 129-2 Central,Governor,,write-in,John Traceski,1,0,0
Fairfield,Bridgeport 129-2 Central,U.S. House,4,REP,Dan Debicella,343,16,0
Fairfield,Bridgeport 129-2 Central,U.S. House,4,IND,Dan Debicella,17,1,1
Fairfield,Bridgeport 129-2 Central,U.S. House,4,UNK,Dan Debicella,2,0,0
Fairfield,Bridgeport 129-2 Central,U.S. House,4,DEM,Jim Himes,822,43,11
Fairfield,Bridgeport 129-2 Central,U.S. House,4,WF,Jim Himes,75,2,3
Fairfield,Bridgeport 129-2 Central,U.S. House,4,UNK,Jim Himes,69,2,0
Fairfield,Bridgeport 129-2 Central,State Senate,22,REP,Enrico Costatini,361,14,0
Fairfield,Bridgeport 129-2 Central,State Senate,22,DEM,Marilyn Moore,803,1,11
Fairfield,Bridgeport 129-2 Central,State Senate,22,WF,Marilyn Moore,80,3,3
Fairfield,Bridgeport 129-2 Central,State Senate,22,UNK,Marilyn Moore,65,0,0
Fairfield,Bridgeport 129-2 Central,State Assembly,129,DEM,Auden Grogins,1002,57,12
Fairfield,Bridgeport 129-2 Central,Secretary of State,,REP,Peter Lumaj,365,17,0
Fairfield,Bridgeport 129-2 Central,Secretary of State,,IND,Peter Lumaj,29,0,2
Fairfield,Bridgeport 129-2 Central,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 129-2 Central,Secretary of State,,DEM,Denise Merrill,750,44,11
Fairfield,Bridgeport 129-2 Central,Secretary of State,,WF,Denise Merrill,61,2,1
Fairfield,Bridgeport 129-2 Central,Secretary of State,,UNK,Denise Merrill,50,0,0
Fairfield,Bridgeport 129-2 Central,Secretary of State,,Green,Michael DeRosa,23,0,1
Fairfield,Bridgeport 129-2 Central,State Treasurer,,REP,Tim Herbst,371,22,0
Fairfield,Bridgeport 129-2 Central,State Treasurer,,IND,Tim Herbst,28,0,1
Fairfield,Bridgeport 129-2 Central,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 129-2 Central,State Treasurer,,DEM,Denise Nappier,771,39,12
Fairfield,Bridgeport 129-2 Central,State Treasurer,,WF,Denise Nappier,65,0,2
Fairfield,Bridgeport 129-2 Central,State Treasurer,,UNK,Denise Nappier,50,0,0
Fairfield,Bridgeport 129-2 Central,Comptroller,,REP,Sharon McLaughlin,348,16,1
Fairfield,Bridgeport 129-2 Central,Comptroller,,IND,Sharon McLaughlin,27,0,1
Fairfield,Bridgeport 129-2 Central,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 129-2 Central,Comptroller,,DEM,Kevin Lembo,766,43,11
Fairfield,Bridgeport 129-2 Central,Comptroller,,WF,Kevin Lembo,62,3,0
Fairfield,Bridgeport 129-2 Central,Comptroller,,IND,Kevin Lembo,46,0,0
Fairfield,Bridgeport 129-2 Central,Comptroller,,Green,Rolf Maurer,15,0,2
Fairfield,Bridgeport 129-2 Central,Attorney General,,REP,Kie Westby,332,15,0
Fairfield,Bridgeport 129-2 Central,Attorney General,,IND,Kie Westby,17,1,1
Fairfield,Bridgeport 129-2 Central,Attorney General,,UNK,Kie Westby,46,0,0
Fairfield,Bridgeport 129-2 Central,Attorney General,,DEM,George Jepsen,793,44,11
Fairfield,Bridgeport 129-2 Central,Attorney General,,WF,George Jepsen,68,2,1
Fairfield,Bridgeport 129-2 Central,Attorney General,,UNK,George Jepsen,46,0,0
Fairfield,Bridgeport 129-2 Central,Attorney General,,Green,Stephen Fournier,21,0,2
Fairfield,Bridgeport 129-3 Central,Governor,,REP,Thomas C. Foley,82,4,1
Fairfield,Bridgeport 129-3 Central,Governor,,IND,Thomas C. Foley,5,1,0
Fairfield,Bridgeport 129-3 Central,Governor,,UNK,Thomas C. Foley,1,1,0
Fairfield,Bridgeport 129-3 Central,Governor,,DEM,Dannel P. Malloy,299,7,1
Fairfield,Bridgeport 129-3 Central,Governor,,WF,Dannel P. Malloy,28,4,1
Fairfield,Bridgeport 129-3 Central,Governor,,UNK,Dannel P. Malloy,33,1,0
Fairfield,Bridgeport 129-3 Central,Governor,,PC,Joe Visconti,2,0,1
Fairfield,Bridgeport 129-3 Central,U.S. House,4,REP,Dan Debicella,63,4,1
Fairfield,Bridgeport 129-3 Central,U.S. House,4,IND,Dan Debicella,9,1,0
Fairfield,Bridgeport 129-3 Central,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 129-3 Central,U.S. House,4,DEM,Jim Himes,309,6,1
Fairfield,Bridgeport 129-3 Central,U.S. House,4,WF,Jim Himes,32,1,2
Fairfield,Bridgeport 129-3 Central,U.S. House,4,UNK,Jim Himes,21,0,0
Fairfield,Bridgeport 129-3 Central,State Senate,23,DEM,Andres Ayala,297,6,1
Fairfield,Bridgeport 129-3 Central,State Senate,23,WF,Andres Ayala,36,2,2
Fairfield,Bridgeport 129-3 Central,State Senate,23,UNK,Andres Ayala,15,0,0
Fairfield,Bridgeport 129-3 Central,State Assembly,129,DEM,Auden Grogins,338,11,2
Fairfield,Bridgeport 129-3 Central,Secretary of State,,REP,Peter Lumaj,71,2,1
Fairfield,Bridgeport 129-3 Central,Secretary of State,,IND,Peter Lumaj,6,1,0
Fairfield,Bridgeport 129-3 Central,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 129-3 Central,Secretary of State,,DEM,Denise Merrill,278,7,1
Fairfield,Bridgeport 129-3 Central,Secretary of State,,WF,Denise Merrill,33,1,2
Fairfield,Bridgeport 129-3 Central,Secretary of State,,UNK,Denise Merrill,14,0,0
Fairfield,Bridgeport 129-3 Central,Secretary of State,,Green,Michael DeRosa,7,1,0
Fairfield,Bridgeport 129-3 Central,State Treasurer,,REP,Tim Herbst,73,3,1
Fairfield,Bridgeport 129-3 Central,State Treasurer,,IND,Tim Herbst,7,1,0
Fairfield,Bridgeport 129-3 Central,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 129-3 Central,State Treasurer,,DEM,Denise Nappier,290,6,1
Fairfield,Bridgeport 129-3 Central,State Treasurer,,WF,Denise Nappier,28,1,2
Fairfield,Bridgeport 129-3 Central,State Treasurer,,UNK,Denise Nappier,15,0,0
Fairfield,Bridgeport 129-3 Central,Comptroller,,REP,Sharon McLaughlin,75,3,1
Fairfield,Bridgeport 129-3 Central,Comptroller,,IND,Sharon McLaughlin,9,2,1
Fairfield,Bridgeport 129-3 Central,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 129-3 Central,Comptroller,,DEM,Kevin Lembo,277,6,1
Fairfield,Bridgeport 129-3 Central,Comptroller,,WF,Kevin Lembo,29,0,1
Fairfield,Bridgeport 129-3 Central,Comptroller,,IND,Kevin Lembo,14,0,0
Fairfield,Bridgeport 129-3 Central,Comptroller,,Green,Rolf Maurer,1,1,0
Fairfield,Bridgeport 129-3 Central,Attorney General,,REP,Kie Westby,67,2,1
Fairfield,Bridgeport 129-3 Central,Attorney General,,IND,Kie Westby,5,1,0
Fairfield,Bridgeport 129-3 Central,Attorney General,,UNK,Kie Westby,14,0,0
Fairfield,Bridgeport 129-3 Central,Attorney General,,DEM,George Jepsen,286,7,2
Fairfield,Bridgeport 129-3 Central,Attorney General,,WF,George Jepsen,30,1,1
Fairfield,Bridgeport 129-3 Central,Attorney General,,UNK,George Jepsen,14,0,0
Fairfield,Bridgeport 129-3 Central,Attorney General,,Green,Stephen Fournier,7,1,0
Fairfield,Bridgeport 129-4 Aquaculture,Governor,,REP,Thomas C. Foley,96,4,0
Fairfield,Bridgeport 129-4 Aquaculture,Governor,,IND,Thomas C. Foley,10,0,0
Fairfield,Bridgeport 129-4 Aquaculture,Governor,,UNK,Thomas C. Foley,2,0,0
Fairfield,Bridgeport 129-4 Aquaculture,Governor,,DEM,Dannel P. Malloy,411,92,3
Fairfield,Bridgeport 129-4 Aquaculture,Governor,,WF,Dannel P. Malloy,21,2,1
Fairfield,Bridgeport 129-4 Aquaculture,Governor,,UNK,Dannel P. Malloy,37,2,0
Fairfield,Bridgeport 129-4 Aquaculture,Governor,,PC,Joe Visconti,3,1,0
Fairfield,Bridgeport 129-4 Aquaculture,U.S. House,4,REP,Dan Debicella,82,4,0
Fairfield,Bridgeport 129-4 Aquaculture,U.S. House,4,IND,Dan Debicella,7,0,0
Fairfield,Bridgeport 129-4 Aquaculture,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 129-4 Aquaculture,U.S. House,4,DEM,Jim Himes,405,90,3
Fairfield,Bridgeport 129-4 Aquaculture,U.S. House,4,WF,Jim Himes,31,1,1
Fairfield,Bridgeport 129-4 Aquaculture,U.S. House,4,UNK,Jim Himes,27,2,0
Fairfield,Bridgeport 129-4 Aquaculture,State Senate,22,REP,Enrico Costatini,94,4,0
Fairfield,Bridgeport 129-4 Aquaculture,State Senate,22,DEM,Marilyn Moore,395,88,2
Fairfield,Bridgeport 129-4 Aquaculture,State Senate,22,WF,Marilyn Moore,30,1,1
Fairfield,Bridgeport 129-4 Aquaculture,State Senate,22,UNK,Marilyn Moore,23,1,0
Fairfield,Bridgeport 129-4 Aquaculture,State Assembly,129,DEM,Auden Grogins,468,89,2
Fairfield,Bridgeport 129-4 Aquaculture,Secretary of State,,REP,Peter Lumaj,87,5,1
Fairfield,Bridgeport 129-4 Aquaculture,Secretary of State,,IND,Peter Lumaj,11,0,0
Fairfield,Bridgeport 129-4 Aquaculture,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 129-4 Aquaculture,Secretary of State,,DEM,Denise Merrill,388,85,1
Fairfield,Bridgeport 129-4 Aquaculture,Secretary of State,,WF,Denise Merrill,22,1,1
Fairfield,Bridgeport 129-4 Aquaculture,Secretary of State,,UNK,Denise Merrill,18,1,0
Fairfield,Bridgeport 129-4 Aquaculture,Secretary of State,,Green,Michael DeRosa,5,2,0
Fairfield,Bridgeport 129-4 Aquaculture,State Treasurer,,REP,Tim Herbst,93,5,1
Fairfield,Bridgeport 129-4 Aquaculture,State Treasurer,,IND,Tim Herbst,6,0,0
Fairfield,Bridgeport 129-4 Aquaculture,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 129-4 Aquaculture,State Treasurer,,DEM,Denise Nappier,394,86,1
Fairfield,Bridgeport 129-4 Aquaculture,State Treasurer,,WF,Denise Nappier,26,2,1
Fairfield,Bridgeport 129-4 Aquaculture,State Treasurer,,UNK,Denise Nappier,21,2,0
Fairfield,Bridgeport 129-4 Aquaculture,Comptroller,,REP,Sharon McLaughlin,85,4,1
Fairfield,Bridgeport 129-4 Aquaculture,Comptroller,,IND,Sharon McLaughlin,5,0,0
Fairfield,Bridgeport 129-4 Aquaculture,Comptroller,,UNK,Sharon McLaughlin,2,0,0
Fairfield,Bridgeport 129-4 Aquaculture,Comptroller,,DEM,Kevin Lembo,388,86,1
Fairfield,Bridgeport 129-4 Aquaculture,Comptroller,,WF,Kevin Lembo,21,2,0
Fairfield,Bridgeport 129-4 Aquaculture,Comptroller,,IND,Kevin Lembo,18,2,0
Fairfield,Bridgeport 129-4 Aquaculture,Comptroller,,Green,Rolf Maurer,8,1,0
Fairfield,Bridgeport 129-4 Aquaculture,Attorney General,,REP,Kie Westby,80,5,1
Fairfield,Bridgeport 129-4 Aquaculture,Attorney General,,IND,Kie Westby,8,0,0
Fairfield,Bridgeport 129-4 Aquaculture,Attorney General,,UNK,Kie Westby,18,1,0
Fairfield,Bridgeport 129-4 Aquaculture,Attorney General,,DEM,George Jepsen,392,85,1
Fairfield,Bridgeport 129-4 Aquaculture,Attorney General,,WF,George Jepsen,22,1,1
Fairfield,Bridgeport 129-4 Aquaculture,Attorney General,,UNK,George Jepsen,18,1,0
Fairfield,Bridgeport 129-4 Aquaculture,Attorney General,,Green,Stephen Fournier,7,1,0
Fairfield,Bridgeport 130-1 Bassic,Governor,,REP,Thomas C. Foley,63,3,2
Fairfield,Bridgeport 130-1 Bassic,Governor,,IND,Thomas C. Foley,5,0,1
Fairfield,Bridgeport 130-1 Bassic,Governor,,UNK,Thomas C. Foley,0,1,0
Fairfield,Bridgeport 130-1 Bassic,Governor,,DEM,Dannel P. Malloy,383,55,4
Fairfield,Bridgeport 130-1 Bassic,Governor,,WF,Dannel P. Malloy,25,2,2
Fairfield,Bridgeport 130-1 Bassic,Governor,,UNK,Dannel P. Malloy,47,5,1
Fairfield,Bridgeport 130-1 Bassic,Governor,,PC,Joe Visconti,0,0,0
Fairfield,Bridgeport 130-1 Bassic,U.S. House,4,REP,Dan Debicella,54,2,1
Fairfield,Bridgeport 130-1 Bassic,U.S. House,4,IND,Dan Debicella,4,0,2
Fairfield,Bridgeport 130-1 Bassic,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 130-1 Bassic,U.S. House,4,DEM,Jim Himes,381,56,5
Fairfield,Bridgeport 130-1 Bassic,U.S. House,4,WF,Jim Himes,30,0,2
Fairfield,Bridgeport 130-1 Bassic,U.S. House,4,UNK,Jim Himes,34,2,0
Fairfield,Bridgeport 130-1 Bassic,State Senate,23,DEM,Andres Ayala,382,60,5
Fairfield,Bridgeport 130-1 Bassic,State Senate,23,WF,Andres Ayala,31,1,3
Fairfield,Bridgeport 130-1 Bassic,State Senate,23,UNK,Andres Ayala,31,1,1
Fairfield,Bridgeport 130-1 Bassic,State Assembly,130,REP,David Goodman,62,3,2
Fairfield,Bridgeport 130-1 Bassic,State Assembly,130,DEM,Ezequiel Santiago,391,53,6
Fairfield,Bridgeport 130-1 Bassic,State Assembly,130,P&P,Joel Gonzales,23,0,1
Fairfield,Bridgeport 130-1 Bassic,Secretary of State,,REP,Peter Lumaj,56,4,2
Fairfield,Bridgeport 130-1 Bassic,Secretary of State,,IND,Peter Lumaj,4,0,0
Fairfield,Bridgeport 130-1 Bassic,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 130-1 Bassic,Secretary of State,,DEM,Denise Merrill,358,50,4
Fairfield,Bridgeport 130-1 Bassic,Secretary of State,,WF,Denise Merrill,28,1,3
Fairfield,Bridgeport 130-1 Bassic,Secretary of State,,UNK,Denise Merrill,27,1,0
Fairfield,Bridgeport 130-1 Bassic,Secretary of State,,Green,Michael DeRosa,8,0,0
Fairfield,Bridgeport 130-1 Bassic,State Treasurer,,REP,Tim Herbst,58,3,2
Fairfield,Bridgeport 130-1 Bassic,State Treasurer,,IND,Tim Herbst,10,0,0
Fairfield,Bridgeport 130-1 Bassic,State Treasurer,,UNK,Tim Herbst,0,0,0
